station_id,station_name,date,observed_high_f
KAUS,Austin Bergstrom,2025-01-01,60
KAUS,Austin Bergstrom,2025-01-02,63
KAUS,Austin Bergstrom,2025-01-03,68
KAUS,Austin Bergstrom,2025-01-04,73
KAUS,Austin Bergstrom,2025-01-05,77
KAUS,Austin Bergstrom,2025-01-06,47
KAUS,Austin Bergstrom,2025-01-07,48
KAUS,Austin Bergstrom,2025-01-08,42
KAUS,Austin Bergstrom,2025-01-09,41
KAUS,Austin Bergstrom,2025-01-10,45
KAUS,Austin Bergstrom,2025-01-11,59
KAUS,Austin Bergstrom,2025-01-12,64
KAUS,Austin Bergstrom,2025-01-13,58
KAUS,Austin Bergstrom,2025-01-14,55
KAUS,Austin Bergstrom,2025-01-15,63
KAUS,Austin Bergstrom,2025-01-16,66
KAUS,Austin Bergstrom,2025-01-17,61
KAUS,Austin Bergstrom,2025-01-18,62
KAUS,Austin Bergstrom,2025-01-19,43
KAUS,Austin Bergstrom,2025-01-20,34
KAUS,Austin Bergstrom,2025-01-21,38
KAUS,Austin Bergstrom,2025-01-22,51
KAUS,Austin Bergstrom,2025-01-23,56
KAUS,Austin Bergstrom,2025-01-24,59
KAUS,Austin Bergstrom,2025-01-25,59
KAUS,Austin Bergstrom,2025-01-26,55
KAUS,Austin Bergstrom,2025-01-27,53
KAUS,Austin Bergstrom,2025-01-28,53
KAUS,Austin Bergstrom,2025-01-29,71
KAUS,Austin Bergstrom,2025-01-30,70
KAUS,Austin Bergstrom,2025-01-31,73
KAUS,Austin Bergstrom,2025-02-01,76
KAUS,Austin Bergstrom,2025-02-02,81
KAUS,Austin Bergstrom,2025-02-03,84
KAUS,Austin Bergstrom,2025-02-04,83
KAUS,Austin Bergstrom,2025-02-05,78
KAUS,Austin Bergstrom,2025-02-06,83
KAUS,Austin Bergstrom,2025-02-07,81
KAUS,Austin Bergstrom,2025-02-08,88
KAUS,Austin Bergstrom,2025-02-09,70
KAUS,Austin Bergstrom,2025-02-10,51
KAUS,Austin Bergstrom,2025-02-11,53
KAUS,Austin Bergstrom,2025-02-12,55
KAUS,Austin Bergstrom,2025-02-13,47
KAUS,Austin Bergstrom,2025-02-14,47
KAUS,Austin Bergstrom,2025-02-15,73
KAUS,Austin Bergstrom,2025-02-16,56
KAUS,Austin Bergstrom,2025-02-17,63
KAUS,Austin Bergstrom,2025-02-18,62
KAUS,Austin Bergstrom,2025-02-19,30
KAUS,Austin Bergstrom,2025-02-20,36
KAUS,Austin Bergstrom,2025-02-21,38
KAUS,Austin Bergstrom,2025-02-22,42
KAUS,Austin Bergstrom,2025-02-23,65
KAUS,Austin Bergstrom,2025-02-24,76
KAUS,Austin Bergstrom,2025-02-25,77
KAUS,Austin Bergstrom,2025-02-26,82
KAUS,Austin Bergstrom,2025-02-27,69
KAUS,Austin Bergstrom,2025-02-28,77
KAUS,Austin Bergstrom,2025-03-01,84
KAUS,Austin Bergstrom,2025-03-02,81
KAUS,Austin Bergstrom,2025-03-03,79
