station_id,station_name,date,observed_high_f
KDEN,Denver International,2026-01-01,64
KDEN,Denver International,2026-01-02,60
KDEN,Denver International,2026-01-03,64
KDEN,Denver International,2026-01-04,67
KDEN,Denver International,2026-01-05,61
KDEN,Denver International,2026-01-06,57
KDEN,Denver International,2026-01-07,58
KDEN,Denver International,2026-01-08,41
KDEN,Denver International,2026-01-09,32
KDEN,Denver International,2026-01-10,44
KDEN,Denver International,2026-01-11,57
KDEN,Denver International,2026-01-12,63
KDEN,Denver International,2026-01-13,62
KDEN,Denver International,2026-01-14,54
KDEN,Denver International,2026-01-15,60
KDEN,Denver International,2026-01-16,38
KDEN,Denver International,2026-01-17,35
KDEN,Denver International,2026-01-18,51
KDEN,Denver International,2026-01-19,37
KDEN,Denver International,2026-01-20,52
KDEN,Denver International,2026-01-21,48
KDEN,Denver International,2026-01-22,37
KDEN,Denver International,2026-01-23,16
KDEN,Denver International,2026-01-24,17
KDEN,Denver International,2026-01-25,27
KDEN,Denver International,2026-01-26,45
KDEN,Denver International,2026-01-27,48
KDEN,Denver International,2026-01-28,51
KDEN,Denver International,2026-01-29,47
KDEN,Denver International,2026-01-30,47
KDEN,Denver International,2026-01-31,56
KDEN,Denver International,2026-02-01,62
KDEN,Denver International,2026-02-02,52
KDEN,Denver International,2026-02-03,48
KDEN,Denver International,2026-02-04,51
KDEN,Denver International,2026-02-05,65
KDEN,Denver International,2026-02-06,66
KDEN,Denver International,2026-02-07,65
KDEN,Denver International,2026-02-08,65
KDEN,Denver International,2026-02-09,71
KDEN,Denver International,2026-02-10,46
KDEN,Denver International,2026-02-11,57
KDEN,Denver International,2026-02-12,60
KDEN,Denver International,2026-02-13,56
KDEN,Denver International,2026-02-14,56
KDEN,Denver International,2026-02-15,68
KDEN,Denver International,2026-02-16,70
KDEN,Denver International,2026-02-17,56
KDEN,Denver International,2026-02-18,54
KDEN,Denver International,2026-02-19,36
KDEN,Denver International,2026-02-20,28
KDEN,Denver International,2026-02-21,46
KDEN,Denver International,2026-02-22,53
KDEN,Denver International,2026-02-23,67
KDEN,Denver International,2026-02-24,71
KDEN,Denver International,2026-02-25,67
KDEN,Denver International,2026-02-26,63
KDEN,Denver International,2026-02-27,66
KDEN,Denver International,2026-02-28,67
KDEN,Denver International,2026-03-01,64
KDEN,Denver International,2026-03-02,70
KDEN,Denver International,2026-03-03,50
KDEN,Denver International,2026-03-04,62
KDEN,Denver International,2026-03-05,69
KDEN,Denver International,2026-03-06,40
KDEN,Denver International,2026-03-07,48
KDEN,Denver International,2026-03-08,65
KDEN,Denver International,2026-03-09,73
KDEN,Denver International,2026-03-10,63
KDEN,Denver International,2026-03-11,47
KDEN,Denver International,2026-03-12,66
KDEN,Denver International,2026-03-13,66
KDEN,Denver International,2026-03-14,74
KDEN,Denver International,2026-03-15,47
KDEN,Denver International,2026-03-16,52
KDEN,Denver International,2026-03-17,73
KDEN,Denver International,2026-03-18,81
KDEN,Denver International,2026-03-19,85
KDEN,Denver International,2026-03-20,85
KDEN,Denver International,2026-03-21,86
KDEN,Denver International,2026-03-22,68
KDEN,Denver International,2026-03-23,67
KDEN,Denver International,2026-03-24,81
KDEN,Denver International,2026-03-25,87
KDEN,Denver International,2026-03-26,71
KDEN,Denver International,2026-03-27,55
KDEN,Denver International,2026-03-28,82
KDEN,Denver International,2026-03-29,79
KDEN,Denver International,2026-03-30,81
KDEN,Denver International,2026-03-31,58
KDEN,Denver International,2026-04-01,55
KDEN,Denver International,2026-04-02,71
KDEN,Denver International,2026-04-03,54
KDEN,Denver International,2026-04-04,59
KDEN,Denver International,2026-04-05,67
KDEN,Denver International,2026-04-06,66
KDEN,Denver International,2026-04-07,72
KDEN,Denver International,2026-04-08,68
KDEN,Denver International,2026-04-09,73
KDEN,Denver International,2026-04-10,63
KDEN,Denver International,2026-04-11,77
KDEN,Denver International,2026-04-12,76
KDEN,Denver International,2026-04-13,73
KDEN,Denver International,2026-04-14,61
KDEN,Denver International,2026-04-15,67
KDEN,Denver International,2026-04-16,77
KDEN,Denver International,2026-04-17,41
KDEN,Denver International,2026-04-18,56
KDEN,Denver International,2026-04-19,71
KDEN,Denver International,2026-04-20,78
KDEN,Denver International,2026-04-21,84
