station_id,station_name,date,observed_high_f
KMSP,Minneapolis St Paul,2025-01-01,25
KMSP,Minneapolis St Paul,2025-01-02,22
KMSP,Minneapolis St Paul,2025-01-03,17
KMSP,Minneapolis St Paul,2025-01-04,13
KMSP,Minneapolis St Paul,2025-01-05,17
KMSP,Minneapolis St Paul,2025-01-06,20
KMSP,Minneapolis St Paul,2025-01-07,20
KMSP,Minneapolis St Paul,2025-01-08,20
KMSP,Minneapolis St Paul,2025-01-09,24
KMSP,Minneapolis St Paul,2025-01-10,28
KMSP,Minneapolis St Paul,2025-01-11,26
KMSP,Minneapolis St Paul,2025-01-12,29
KMSP,Minneapolis St Paul,2025-01-13,7
KMSP,Minneapolis St Paul,2025-01-14,7
KMSP,Minneapolis St Paul,2025-01-15,30
KMSP,Minneapolis St Paul,2025-01-16,35
KMSP,Minneapolis St Paul,2025-01-17,38
KMSP,Minneapolis St Paul,2025-01-18,17
KMSP,Minneapolis St Paul,2025-01-19,-1
KMSP,Minneapolis St Paul,2025-01-20,-6
KMSP,Minneapolis St Paul,2025-01-21,13
KMSP,Minneapolis St Paul,2025-01-22,29
KMSP,Minneapolis St Paul,2025-01-23,13
KMSP,Minneapolis St Paul,2025-01-24,27
KMSP,Minneapolis St Paul,2025-01-25,28
KMSP,Minneapolis St Paul,2025-01-26,35
KMSP,Minneapolis St Paul,2025-01-27,38
KMSP,Minneapolis St Paul,2025-01-28,47
KMSP,Minneapolis St Paul,2025-01-29,39
KMSP,Minneapolis St Paul,2025-01-30,52
KMSP,Minneapolis St Paul,2025-01-31,42
KMSP,Minneapolis St Paul,2025-02-01,31
KMSP,Minneapolis St Paul,2025-02-02,44
KMSP,Minneapolis St Paul,2025-02-03,32
KMSP,Minneapolis St Paul,2025-02-04,9
KMSP,Minneapolis St Paul,2025-02-05,23
KMSP,Minneapolis St Paul,2025-02-06,24
KMSP,Minneapolis St Paul,2025-02-07,23
KMSP,Minneapolis St Paul,2025-02-08,22
KMSP,Minneapolis St Paul,2025-02-09,18
KMSP,Minneapolis St Paul,2025-02-10,16
KMSP,Minneapolis St Paul,2025-02-11,6
KMSP,Minneapolis St Paul,2025-02-12,7
KMSP,Minneapolis St Paul,2025-02-13,10
KMSP,Minneapolis St Paul,2025-02-14,22
KMSP,Minneapolis St Paul,2025-02-15,22
KMSP,Minneapolis St Paul,2025-02-16,13
KMSP,Minneapolis St Paul,2025-02-17,-2
KMSP,Minneapolis St Paul,2025-02-18,4
KMSP,Minneapolis St Paul,2025-02-19,8
KMSP,Minneapolis St Paul,2025-02-20,20
KMSP,Minneapolis St Paul,2025-02-21,26
KMSP,Minneapolis St Paul,2025-02-22,37
KMSP,Minneapolis St Paul,2025-02-23,48
KMSP,Minneapolis St Paul,2025-02-24,52
KMSP,Minneapolis St Paul,2025-02-25,51
KMSP,Minneapolis St Paul,2025-02-26,55
KMSP,Minneapolis St Paul,2025-02-27,50
KMSP,Minneapolis St Paul,2025-02-28,47
KMSP,Minneapolis St Paul,2025-03-01,27
KMSP,Minneapolis St Paul,2025-03-02,41
KMSP,Minneapolis St Paul,2025-03-03,50
KMSP,Minneapolis St Paul,2025-03-04,46
KMSP,Minneapolis St Paul,2025-03-05,33
KMSP,Minneapolis St Paul,2025-03-06,41
KMSP,Minneapolis St Paul,2025-03-07,43
KMSP,Minneapolis St Paul,2025-03-08,51
KMSP,Minneapolis St Paul,2025-03-09,60
KMSP,Minneapolis St Paul,2025-03-10,65
KMSP,Minneapolis St Paul,2025-03-11,47
KMSP,Minneapolis St Paul,2025-03-12,58
KMSP,Minneapolis St Paul,2025-03-13,64
KMSP,Minneapolis St Paul,2025-03-14,75
KMSP,Minneapolis St Paul,2025-03-15,54
KMSP,Minneapolis St Paul,2025-03-16,39
KMSP,Minneapolis St Paul,2025-03-17,63
KMSP,Minneapolis St Paul,2025-03-18,51
KMSP,Minneapolis St Paul,2025-03-19,39
KMSP,Minneapolis St Paul,2025-03-20,47
KMSP,Minneapolis St Paul,2025-03-21,55
KMSP,Minneapolis St Paul,2025-03-22,43
KMSP,Minneapolis St Paul,2025-03-23,45
KMSP,Minneapolis St Paul,2025-03-24,48
KMSP,Minneapolis St Paul,2025-03-25,55
KMSP,Minneapolis St Paul,2025-03-26,56
KMSP,Minneapolis St Paul,2025-03-27,62
KMSP,Minneapolis St Paul,2025-03-28,74
KMSP,Minneapolis St Paul,2025-03-29,40
KMSP,Minneapolis St Paul,2025-03-30,35
KMSP,Minneapolis St Paul,2025-03-31,46
KMSP,Minneapolis St Paul,2025-04-01,40
KMSP,Minneapolis St Paul,2025-04-02,39
KMSP,Minneapolis St Paul,2025-04-03,47
KMSP,Minneapolis St Paul,2025-04-04,52
KMSP,Minneapolis St Paul,2025-04-05,44
KMSP,Minneapolis St Paul,2025-04-06,60
KMSP,Minneapolis St Paul,2025-04-07,40
KMSP,Minneapolis St Paul,2025-04-08,49
KMSP,Minneapolis St Paul,2025-04-09,62
KMSP,Minneapolis St Paul,2025-04-10,50
KMSP,Minneapolis St Paul,2025-04-11,57
KMSP,Minneapolis St Paul,2025-04-12,70
KMSP,Minneapolis St Paul,2025-04-13,68
KMSP,Minneapolis St Paul,2025-04-14,55
KMSP,Minneapolis St Paul,2025-04-15,55
KMSP,Minneapolis St Paul,2025-04-16,60
KMSP,Minneapolis St Paul,2025-04-17,75
KMSP,Minneapolis St Paul,2025-04-18,60
KMSP,Minneapolis St Paul,2025-04-19,55
KMSP,Minneapolis St Paul,2025-04-20,55
KMSP,Minneapolis St Paul,2025-04-21,62
KMSP,Minneapolis St Paul,2025-04-22,70
KMSP,Minneapolis St Paul,2025-04-23,69
KMSP,Minneapolis St Paul,2025-04-24,52
KMSP,Minneapolis St Paul,2025-04-25,59
KMSP,Minneapolis St Paul,2025-04-26,62
KMSP,Minneapolis St Paul,2025-04-27,65
KMSP,Minneapolis St Paul,2025-04-28,73
KMSP,Minneapolis St Paul,2025-04-29,59
KMSP,Minneapolis St Paul,2025-04-30,69
KMSP,Minneapolis St Paul,2025-05-01,65
KMSP,Minneapolis St Paul,2025-05-02,50
KMSP,Minneapolis St Paul,2025-05-03,66
KMSP,Minneapolis St Paul,2025-05-04,81
KMSP,Minneapolis St Paul,2025-05-05,76
KMSP,Minneapolis St Paul,2025-05-06,83
KMSP,Minneapolis St Paul,2025-05-07,72
KMSP,Minneapolis St Paul,2025-05-08,72
KMSP,Minneapolis St Paul,2025-05-09,85
KMSP,Minneapolis St Paul,2025-05-10,75
KMSP,Minneapolis St Paul,2025-05-11,90
KMSP,Minneapolis St Paul,2025-05-12,87
KMSP,Minneapolis St Paul,2025-05-13,87
KMSP,Minneapolis St Paul,2025-05-14,86
KMSP,Minneapolis St Paul,2025-05-15,84
KMSP,Minneapolis St Paul,2025-05-16,63
KMSP,Minneapolis St Paul,2025-05-17,50
KMSP,Minneapolis St Paul,2025-05-18,59
KMSP,Minneapolis St Paul,2025-05-19,59
KMSP,Minneapolis St Paul,2025-05-20,48
KMSP,Minneapolis St Paul,2025-05-21,51
KMSP,Minneapolis St Paul,2025-05-22,69
KMSP,Minneapolis St Paul,2025-05-23,66
KMSP,Minneapolis St Paul,2025-05-24,68
KMSP,Minneapolis St Paul,2025-05-25,72
KMSP,Minneapolis St Paul,2025-05-26,74
KMSP,Minneapolis St Paul,2025-05-27,64
KMSP,Minneapolis St Paul,2025-05-28,60
KMSP,Minneapolis St Paul,2025-05-29,75
KMSP,Minneapolis St Paul,2025-05-30,78
KMSP,Minneapolis St Paul,2025-05-31,81
KMSP,Minneapolis St Paul,2025-06-01,81
KMSP,Minneapolis St Paul,2025-06-02,92
KMSP,Minneapolis St Paul,2025-06-03,72
KMSP,Minneapolis St Paul,2025-06-04,79
KMSP,Minneapolis St Paul,2025-06-05,80
KMSP,Minneapolis St Paul,2025-06-06,74
KMSP,Minneapolis St Paul,2025-06-07,77
KMSP,Minneapolis St Paul,2025-06-08,73
KMSP,Minneapolis St Paul,2025-06-09,68
KMSP,Minneapolis St Paul,2025-06-10,82
KMSP,Minneapolis St Paul,2025-06-11,74
KMSP,Minneapolis St Paul,2025-06-12,70
KMSP,Minneapolis St Paul,2025-06-13,57
KMSP,Minneapolis St Paul,2025-06-14,63
KMSP,Minneapolis St Paul,2025-06-15,75
KMSP,Minneapolis St Paul,2025-06-16,82
KMSP,Minneapolis St Paul,2025-06-17,83
KMSP,Minneapolis St Paul,2025-06-18,84
KMSP,Minneapolis St Paul,2025-06-19,88
KMSP,Minneapolis St Paul,2025-06-20,86
KMSP,Minneapolis St Paul,2025-06-21,96
KMSP,Minneapolis St Paul,2025-06-22,95
KMSP,Minneapolis St Paul,2025-06-23,87
KMSP,Minneapolis St Paul,2025-06-24,82
KMSP,Minneapolis St Paul,2025-06-25,72
KMSP,Minneapolis St Paul,2025-06-26,66
KMSP,Minneapolis St Paul,2025-06-27,73
KMSP,Minneapolis St Paul,2025-06-28,85
KMSP,Minneapolis St Paul,2025-06-29,85
KMSP,Minneapolis St Paul,2025-06-30,83
KMSP,Minneapolis St Paul,2025-07-01,86
KMSP,Minneapolis St Paul,2025-07-02,90
KMSP,Minneapolis St Paul,2025-07-03,91
KMSP,Minneapolis St Paul,2025-07-04,93
KMSP,Minneapolis St Paul,2025-07-05,85
KMSP,Minneapolis St Paul,2025-07-06,86
KMSP,Minneapolis St Paul,2025-07-07,85
KMSP,Minneapolis St Paul,2025-07-08,85
KMSP,Minneapolis St Paul,2025-07-09,84
KMSP,Minneapolis St Paul,2025-07-10,81
KMSP,Minneapolis St Paul,2025-07-11,85
KMSP,Minneapolis St Paul,2025-07-12,79
KMSP,Minneapolis St Paul,2025-07-13,88
KMSP,Minneapolis St Paul,2025-07-14,91
KMSP,Minneapolis St Paul,2025-07-15,93
KMSP,Minneapolis St Paul,2025-07-16,71
KMSP,Minneapolis St Paul,2025-07-17,75
KMSP,Minneapolis St Paul,2025-07-18,76
KMSP,Minneapolis St Paul,2025-07-19,82
KMSP,Minneapolis St Paul,2025-07-20,81
KMSP,Minneapolis St Paul,2025-07-21,81
KMSP,Minneapolis St Paul,2025-07-22,89
KMSP,Minneapolis St Paul,2025-07-23,83
KMSP,Minneapolis St Paul,2025-07-24,86
KMSP,Minneapolis St Paul,2025-07-25,86
KMSP,Minneapolis St Paul,2025-07-26,89
KMSP,Minneapolis St Paul,2025-07-27,93
KMSP,Minneapolis St Paul,2025-07-28,89
KMSP,Minneapolis St Paul,2025-07-29,87
KMSP,Minneapolis St Paul,2025-07-30,82
KMSP,Minneapolis St Paul,2025-07-31,79
KMSP,Minneapolis St Paul,2025-08-01,78
KMSP,Minneapolis St Paul,2025-08-02,79
KMSP,Minneapolis St Paul,2025-08-03,78
KMSP,Minneapolis St Paul,2025-08-04,79
KMSP,Minneapolis St Paul,2025-08-05,83
KMSP,Minneapolis St Paul,2025-08-06,83
KMSP,Minneapolis St Paul,2025-08-07,88
KMSP,Minneapolis St Paul,2025-08-08,90
KMSP,Minneapolis St Paul,2025-08-09,84
KMSP,Minneapolis St Paul,2025-08-10,85
KMSP,Minneapolis St Paul,2025-08-11,81
KMSP,Minneapolis St Paul,2025-08-12,83
KMSP,Minneapolis St Paul,2025-08-13,83
KMSP,Minneapolis St Paul,2025-08-14,78
KMSP,Minneapolis St Paul,2025-08-15,89
