station_id,station_name,date,observed_high_f
KMSY,New Orleans Armstrong,2025-01-01,61
KMSY,New Orleans Armstrong,2025-01-02,63
KMSY,New Orleans Armstrong,2025-01-03,67
KMSY,New Orleans Armstrong,2025-01-04,63
KMSY,New Orleans Armstrong,2025-01-05,77
KMSY,New Orleans Armstrong,2025-01-06,56
KMSY,New Orleans Armstrong,2025-01-07,46
KMSY,New Orleans Armstrong,2025-01-08,47
KMSY,New Orleans Armstrong,2025-01-09,51
KMSY,New Orleans Armstrong,2025-01-10,60
KMSY,New Orleans Armstrong,2025-01-11,48
KMSY,New Orleans Armstrong,2025-01-12,56
KMSY,New Orleans Armstrong,2025-01-13,61
KMSY,New Orleans Armstrong,2025-01-14,52
KMSY,New Orleans Armstrong,2025-01-15,61
KMSY,New Orleans Armstrong,2025-01-16,64
KMSY,New Orleans Armstrong,2025-01-17,66
KMSY,New Orleans Armstrong,2025-01-18,71
KMSY,New Orleans Armstrong,2025-01-19,57
KMSY,New Orleans Armstrong,2025-01-20,41
KMSY,New Orleans Armstrong,2025-01-21,38
KMSY,New Orleans Armstrong,2025-01-22,34
KMSY,New Orleans Armstrong,2025-01-23,48
KMSY,New Orleans Armstrong,2025-01-24,53
KMSY,New Orleans Armstrong,2025-01-25,57
KMSY,New Orleans Armstrong,2025-01-26,69
KMSY,New Orleans Armstrong,2025-01-27,68
KMSY,New Orleans Armstrong,2025-01-28,60
KMSY,New Orleans Armstrong,2025-01-29,71
KMSY,New Orleans Armstrong,2025-01-30,77
KMSY,New Orleans Armstrong,2025-01-31,77
KMSY,New Orleans Armstrong,2025-02-01,69
KMSY,New Orleans Armstrong,2025-02-02,72
KMSY,New Orleans Armstrong,2025-02-03,77
KMSY,New Orleans Armstrong,2025-02-04,76
KMSY,New Orleans Armstrong,2025-02-05,78
KMSY,New Orleans Armstrong,2025-02-06,82
KMSY,New Orleans Armstrong,2025-02-07,79
KMSY,New Orleans Armstrong,2025-02-08,85
KMSY,New Orleans Armstrong,2025-02-09,77
KMSY,New Orleans Armstrong,2025-02-10,70
KMSY,New Orleans Armstrong,2025-02-11,83
KMSY,New Orleans Armstrong,2025-02-12,83
KMSY,New Orleans Armstrong,2025-02-13,66
KMSY,New Orleans Armstrong,2025-02-14,67
KMSY,New Orleans Armstrong,2025-02-15,81
KMSY,New Orleans Armstrong,2025-02-16,75
KMSY,New Orleans Armstrong,2025-02-17,56
KMSY,New Orleans Armstrong,2025-02-18,61
KMSY,New Orleans Armstrong,2025-02-19,58
KMSY,New Orleans Armstrong,2025-02-20,45
KMSY,New Orleans Armstrong,2025-02-21,48
KMSY,New Orleans Armstrong,2025-02-22,59
KMSY,New Orleans Armstrong,2025-02-23,57
KMSY,New Orleans Armstrong,2025-02-24,66
KMSY,New Orleans Armstrong,2025-02-25,73
KMSY,New Orleans Armstrong,2025-02-26,74
KMSY,New Orleans Armstrong,2025-02-27,77
KMSY,New Orleans Armstrong,2025-02-28,74
KMSY,New Orleans Armstrong,2025-03-01,80
KMSY,New Orleans Armstrong,2025-03-02,67
KMSY,New Orleans Armstrong,2025-03-03,73
KMSY,New Orleans Armstrong,2025-03-04,76
KMSY,New Orleans Armstrong,2025-03-05,67
KMSY,New Orleans Armstrong,2025-03-06,66
KMSY,New Orleans Armstrong,2025-03-07,74
KMSY,New Orleans Armstrong,2025-03-08,77
KMSY,New Orleans Armstrong,2025-03-09,71
KMSY,New Orleans Armstrong,2025-03-10,72
KMSY,New Orleans Armstrong,2025-03-11,76
KMSY,New Orleans Armstrong,2025-03-12,78
KMSY,New Orleans Armstrong,2025-03-13,83
KMSY,New Orleans Armstrong,2025-03-14,81
KMSY,New Orleans Armstrong,2025-03-15,81
KMSY,New Orleans Armstrong,2025-03-16,72
KMSY,New Orleans Armstrong,2025-03-17,72
KMSY,New Orleans Armstrong,2025-03-18,73
KMSY,New Orleans Armstrong,2025-03-19,82
KMSY,New Orleans Armstrong,2025-03-20,69
KMSY,New Orleans Armstrong,2025-03-21,66
KMSY,New Orleans Armstrong,2025-03-22,77
KMSY,New Orleans Armstrong,2025-03-23,77
KMSY,New Orleans Armstrong,2025-03-24,75
KMSY,New Orleans Armstrong,2025-03-25,83
