station_id,station_name,date,observed_high_f
KORD,Chicago OHare,2025-01-01,34
KORD,Chicago OHare,2025-01-02,32
KORD,Chicago OHare,2025-01-03,25
KORD,Chicago OHare,2025-01-04,25
KORD,Chicago OHare,2025-01-05,22
KORD,Chicago OHare,2025-01-06,30
KORD,Chicago OHare,2025-01-07,26
KORD,Chicago OHare,2025-01-08,26
KORD,Chicago OHare,2025-01-09,29
KORD,Chicago OHare,2025-01-10,30
KORD,Chicago OHare,2025-01-11,32
KORD,Chicago OHare,2025-01-12,35
KORD,Chicago OHare,2025-01-13,19
KORD,Chicago OHare,2025-01-14,16
KORD,Chicago OHare,2025-01-15,19
KORD,Chicago OHare,2025-01-16,38
KORD,Chicago OHare,2025-01-17,47
KORD,Chicago OHare,2025-01-18,40
KORD,Chicago OHare,2025-01-19,14
KORD,Chicago OHare,2025-01-20,11
KORD,Chicago OHare,2025-01-21,2
KORD,Chicago OHare,2025-01-22,25
KORD,Chicago OHare,2025-01-23,24
KORD,Chicago OHare,2025-01-24,23
KORD,Chicago OHare,2025-01-25,41
KORD,Chicago OHare,2025-01-26,31
KORD,Chicago OHare,2025-01-27,44
KORD,Chicago OHare,2025-01-28,48
KORD,Chicago OHare,2025-01-29,47
KORD,Chicago OHare,2025-01-30,50
KORD,Chicago OHare,2025-01-31,40
KORD,Chicago OHare,2025-02-01,33
KORD,Chicago OHare,2025-02-02,43
KORD,Chicago OHare,2025-02-03,42
KORD,Chicago OHare,2025-02-04,33
KORD,Chicago OHare,2025-02-05,31
KORD,Chicago OHare,2025-02-06,37
KORD,Chicago OHare,2025-02-07,32
KORD,Chicago OHare,2025-02-08,33
KORD,Chicago OHare,2025-02-09,32
KORD,Chicago OHare,2025-02-10,37
KORD,Chicago OHare,2025-02-11,28
KORD,Chicago OHare,2025-02-12,29
KORD,Chicago OHare,2025-02-13,26
KORD,Chicago OHare,2025-02-14,26
KORD,Chicago OHare,2025-02-15,33
KORD,Chicago OHare,2025-02-16,27
KORD,Chicago OHare,2025-02-17,9
KORD,Chicago OHare,2025-02-18,14
KORD,Chicago OHare,2025-02-19,17
KORD,Chicago OHare,2025-02-20,24
KORD,Chicago OHare,2025-02-21,28
KORD,Chicago OHare,2025-02-22,34
KORD,Chicago OHare,2025-02-23,44
KORD,Chicago OHare,2025-02-24,53
KORD,Chicago OHare,2025-02-25,54
KORD,Chicago OHare,2025-02-26,51
KORD,Chicago OHare,2025-02-27,50
KORD,Chicago OHare,2025-02-28,57
KORD,Chicago OHare,2025-03-01,34
KORD,Chicago OHare,2025-03-02,37
KORD,Chicago OHare,2025-03-03,48
KORD,Chicago OHare,2025-03-04,48
KORD,Chicago OHare,2025-03-05,51
KORD,Chicago OHare,2025-03-06,42
KORD,Chicago OHare,2025-03-07,40
KORD,Chicago OHare,2025-03-08,50
KORD,Chicago OHare,2025-03-09,58
KORD,Chicago OHare,2025-03-10,68
KORD,Chicago OHare,2025-03-11,57
KORD,Chicago OHare,2025-03-12,51
KORD,Chicago OHare,2025-03-13,60
KORD,Chicago OHare,2025-03-14,79
KORD,Chicago OHare,2025-03-15,66
KORD,Chicago OHare,2025-03-16,41
KORD,Chicago OHare,2025-03-17,53
KORD,Chicago OHare,2025-03-18,72
KORD,Chicago OHare,2025-03-19,47
KORD,Chicago OHare,2025-03-20,44
KORD,Chicago OHare,2025-03-21,60
KORD,Chicago OHare,2025-03-22,47
KORD,Chicago OHare,2025-03-23,52
KORD,Chicago OHare,2025-03-24,50
KORD,Chicago OHare,2025-03-25,51
KORD,Chicago OHare,2025-03-26,54
KORD,Chicago OHare,2025-03-27,54
KORD,Chicago OHare,2025-03-28,78
KORD,Chicago OHare,2025-03-29,71
KORD,Chicago OHare,2025-03-30,75
KORD,Chicago OHare,2025-03-31,47
KORD,Chicago OHare,2025-04-01,45
KORD,Chicago OHare,2025-04-02,71
KORD,Chicago OHare,2025-04-03,56
KORD,Chicago OHare,2025-04-04,49
KORD,Chicago OHare,2025-04-05,54
KORD,Chicago OHare,2025-04-06,50
KORD,Chicago OHare,2025-04-07,46
KORD,Chicago OHare,2025-04-08,45
KORD,Chicago OHare,2025-04-09,44
KORD,Chicago OHare,2025-04-10,43
KORD,Chicago OHare,2025-04-11,52
KORD,Chicago OHare,2025-04-12,62
KORD,Chicago OHare,2025-04-13,64
KORD,Chicago OHare,2025-04-14,64
KORD,Chicago OHare,2025-04-15,56
KORD,Chicago OHare,2025-04-16,51
KORD,Chicago OHare,2025-04-17,64
KORD,Chicago OHare,2025-04-18,76
KORD,Chicago OHare,2025-04-19,60
KORD,Chicago OHare,2025-04-20,59
KORD,Chicago OHare,2025-04-21,61
KORD,Chicago OHare,2025-04-22,74
KORD,Chicago OHare,2025-04-23,76
KORD,Chicago OHare,2025-04-24,75
KORD,Chicago OHare,2025-04-25,59
KORD,Chicago OHare,2025-04-26,54
KORD,Chicago OHare,2025-04-27,69
KORD,Chicago OHare,2025-04-28,84
KORD,Chicago OHare,2025-04-29,77
KORD,Chicago OHare,2025-04-30,61
KORD,Chicago OHare,2025-05-01,68
KORD,Chicago OHare,2025-05-02,57
KORD,Chicago OHare,2025-05-03,54
KORD,Chicago OHare,2025-05-04,59
KORD,Chicago OHare,2025-05-05,61
KORD,Chicago OHare,2025-05-06,77
KORD,Chicago OHare,2025-05-07,75
KORD,Chicago OHare,2025-05-08,58
KORD,Chicago OHare,2025-05-09,67
KORD,Chicago OHare,2025-05-10,73
KORD,Chicago OHare,2025-05-11,71
KORD,Chicago OHare,2025-05-12,80
KORD,Chicago OHare,2025-05-13,78
KORD,Chicago OHare,2025-05-14,80
KORD,Chicago OHare,2025-05-15,94
KORD,Chicago OHare,2025-05-16,88
KORD,Chicago OHare,2025-05-17,71
KORD,Chicago OHare,2025-05-18,64
KORD,Chicago OHare,2025-05-19,55
KORD,Chicago OHare,2025-05-20,56
KORD,Chicago OHare,2025-05-21,52
KORD,Chicago OHare,2025-05-22,57
KORD,Chicago OHare,2025-05-23,65
KORD,Chicago OHare,2025-05-24,66
KORD,Chicago OHare,2025-05-25,66
KORD,Chicago OHare,2025-05-26,67
KORD,Chicago OHare,2025-05-27,69
KORD,Chicago OHare,2025-05-28,63
KORD,Chicago OHare,2025-05-29,70
KORD,Chicago OHare,2025-05-30,73
KORD,Chicago OHare,2025-05-31,64
KORD,Chicago OHare,2025-06-01,70
KORD,Chicago OHare,2025-06-02,84
KORD,Chicago OHare,2025-06-03,89
KORD,Chicago OHare,2025-06-04,71
KORD,Chicago OHare,2025-06-05,72
KORD,Chicago OHare,2025-06-06,77
KORD,Chicago OHare,2025-06-07,77
KORD,Chicago OHare,2025-06-08,81
KORD,Chicago OHare,2025-06-09,71
KORD,Chicago OHare,2025-06-10,78
KORD,Chicago OHare,2025-06-11,92
KORD,Chicago OHare,2025-06-12,79
KORD,Chicago OHare,2025-06-13,71
KORD,Chicago OHare,2025-06-14,76
KORD,Chicago OHare,2025-06-15,82
KORD,Chicago OHare,2025-06-16,88
KORD,Chicago OHare,2025-06-17,92
KORD,Chicago OHare,2025-06-18,81
KORD,Chicago OHare,2025-06-19,85
KORD,Chicago OHare,2025-06-20,86
KORD,Chicago OHare,2025-06-21,94
KORD,Chicago OHare,2025-06-22,94
KORD,Chicago OHare,2025-06-23,95
KORD,Chicago OHare,2025-06-24,94
KORD,Chicago OHare,2025-06-25,89
KORD,Chicago OHare,2025-06-26,94
KORD,Chicago OHare,2025-06-27,87
KORD,Chicago OHare,2025-06-28,90
