station_id,station_name,date,observed_high_f
KPHL,Philadelphia International,2025-01-01,50
KPHL,Philadelphia International,2025-01-02,43
KPHL,Philadelphia International,2025-01-03,36
KPHL,Philadelphia International,2025-01-04,32
KPHL,Philadelphia International,2025-01-05,32
KPHL,Philadelphia International,2025-01-06,30
KPHL,Philadelphia International,2025-01-07,34
KPHL,Philadelphia International,2025-01-08,31
KPHL,Philadelphia International,2025-01-09,34
KPHL,Philadelphia International,2025-01-10,37
KPHL,Philadelphia International,2025-01-11,34
KPHL,Philadelphia International,2025-01-12,43
KPHL,Philadelphia International,2025-01-13,45
KPHL,Philadelphia International,2025-01-14,35
KPHL,Philadelphia International,2025-01-15,34
KPHL,Philadelphia International,2025-01-16,29
KPHL,Philadelphia International,2025-01-17,44
KPHL,Philadelphia International,2025-01-18,42
KPHL,Philadelphia International,2025-01-19,39
KPHL,Philadelphia International,2025-01-20,26
KPHL,Philadelphia International,2025-01-21,19
KPHL,Philadelphia International,2025-01-22,20
KPHL,Philadelphia International,2025-01-23,27
KPHL,Philadelphia International,2025-01-24,34
KPHL,Philadelphia International,2025-01-25,36
KPHL,Philadelphia International,2025-01-26,42
KPHL,Philadelphia International,2025-01-27,46
KPHL,Philadelphia International,2025-01-28,45
KPHL,Philadelphia International,2025-01-29,53
KPHL,Philadelphia International,2025-01-30,42
KPHL,Philadelphia International,2025-01-31,51
KPHL,Philadelphia International,2025-02-01,50
KPHL,Philadelphia International,2025-02-02,38
KPHL,Philadelphia International,2025-02-03,52
KPHL,Philadelphia International,2025-02-04,50
KPHL,Philadelphia International,2025-02-05,37
KPHL,Philadelphia International,2025-02-06,39
KPHL,Philadelphia International,2025-02-07,46
KPHL,Philadelphia International,2025-02-08,35
KPHL,Philadelphia International,2025-02-09,39
KPHL,Philadelphia International,2025-02-10,41
KPHL,Philadelphia International,2025-02-11,37
KPHL,Philadelphia International,2025-02-12,36
KPHL,Philadelphia International,2025-02-13,49
KPHL,Philadelphia International,2025-02-14,38
KPHL,Philadelphia International,2025-02-15,40
KPHL,Philadelphia International,2025-02-16,59
KPHL,Philadelphia International,2025-02-17,38
KPHL,Philadelphia International,2025-02-18,28
KPHL,Philadelphia International,2025-02-19,30
KPHL,Philadelphia International,2025-02-20,28
KPHL,Philadelphia International,2025-02-21,38
KPHL,Philadelphia International,2025-02-22,41
KPHL,Philadelphia International,2025-02-23,49
KPHL,Philadelphia International,2025-02-24,55
KPHL,Philadelphia International,2025-02-25,59
KPHL,Philadelphia International,2025-02-26,61
KPHL,Philadelphia International,2025-02-27,54
KPHL,Philadelphia International,2025-02-28,52
KPHL,Philadelphia International,2025-03-01,66
KPHL,Philadelphia International,2025-03-02,37
KPHL,Philadelphia International,2025-03-03,41
KPHL,Philadelphia International,2025-03-04,63
KPHL,Philadelphia International,2025-03-05,62
KPHL,Philadelphia International,2025-03-06,57
KPHL,Philadelphia International,2025-03-07,53
KPHL,Philadelphia International,2025-03-08,51
KPHL,Philadelphia International,2025-03-09,56
KPHL,Philadelphia International,2025-03-10,68
KPHL,Philadelphia International,2025-03-11,68
KPHL,Philadelphia International,2025-03-12,64
KPHL,Philadelphia International,2025-03-13,57
KPHL,Philadelphia International,2025-03-14,62
KPHL,Philadelphia International,2025-03-15,55
KPHL,Philadelphia International,2025-03-16,70
KPHL,Philadelphia International,2025-03-17,62
KPHL,Philadelphia International,2025-03-18,64
KPHL,Philadelphia International,2025-03-19,72
KPHL,Philadelphia International,2025-03-20,72
KPHL,Philadelphia International,2025-03-21,55
KPHL,Philadelphia International,2025-03-22,65
KPHL,Philadelphia International,2025-03-23,50
KPHL,Philadelphia International,2025-03-24,54
KPHL,Philadelphia International,2025-03-25,62
KPHL,Philadelphia International,2025-03-26,52
KPHL,Philadelphia International,2025-03-27,54
KPHL,Philadelphia International,2025-03-28,64
KPHL,Philadelphia International,2025-03-29,79
KPHL,Philadelphia International,2025-03-30,68
KPHL,Philadelphia International,2025-03-31,82
KPHL,Philadelphia International,2025-04-01,62
KPHL,Philadelphia International,2025-04-02,57
KPHL,Philadelphia International,2025-04-03,76
KPHL,Philadelphia International,2025-04-04,71
KPHL,Philadelphia International,2025-04-05,62
KPHL,Philadelphia International,2025-04-06,55
KPHL,Philadelphia International,2025-04-07,51
KPHL,Philadelphia International,2025-04-08,48
KPHL,Philadelphia International,2025-04-09,50
KPHL,Philadelphia International,2025-04-10,54
KPHL,Philadelphia International,2025-04-11,48
KPHL,Philadelphia International,2025-04-12,45
KPHL,Philadelphia International,2025-04-13,62
KPHL,Philadelphia International,2025-04-14,70
KPHL,Philadelphia International,2025-04-15,69
KPHL,Philadelphia International,2025-04-16,57
KPHL,Philadelphia International,2025-04-17,63
KPHL,Philadelphia International,2025-04-18,72
KPHL,Philadelphia International,2025-04-19,80
KPHL,Philadelphia International,2025-04-20,73
