station_id,station_name,date,observed_high_f
KSAT,San Antonio International,2025-01-01,63
KSAT,San Antonio International,2025-01-02,62
KSAT,San Antonio International,2025-01-03,66
KSAT,San Antonio International,2025-01-04,73
KSAT,San Antonio International,2025-01-05,77
KSAT,San Antonio International,2025-01-06,50
KSAT,San Antonio International,2025-01-07,50
KSAT,San Antonio International,2025-01-08,44
KSAT,San Antonio International,2025-01-09,40
KSAT,San Antonio International,2025-01-10,47
KSAT,San Antonio International,2025-01-11,57
KSAT,San Antonio International,2025-01-12,65
KSAT,San Antonio International,2025-01-13,59
KSAT,San Antonio International,2025-01-14,54
KSAT,San Antonio International,2025-01-15,62
KSAT,San Antonio International,2025-01-16,64
KSAT,San Antonio International,2025-01-17,60
KSAT,San Antonio International,2025-01-18,68
KSAT,San Antonio International,2025-01-19,45
KSAT,San Antonio International,2025-01-20,34
KSAT,San Antonio International,2025-01-21,41
KSAT,San Antonio International,2025-01-22,50
KSAT,San Antonio International,2025-01-23,57
KSAT,San Antonio International,2025-01-24,58
KSAT,San Antonio International,2025-01-25,64
KSAT,San Antonio International,2025-01-26,72
KSAT,San Antonio International,2025-01-27,54
KSAT,San Antonio International,2025-01-28,53
KSAT,San Antonio International,2025-01-29,69
KSAT,San Antonio International,2025-01-30,73
KSAT,San Antonio International,2025-01-31,75
KSAT,San Antonio International,2025-02-01,76
KSAT,San Antonio International,2025-02-02,81
KSAT,San Antonio International,2025-02-03,85
KSAT,San Antonio International,2025-02-04,82
KSAT,San Antonio International,2025-02-05,78
KSAT,San Antonio International,2025-02-06,84
KSAT,San Antonio International,2025-02-07,83
KSAT,San Antonio International,2025-02-08,89
KSAT,San Antonio International,2025-02-09,70
KSAT,San Antonio International,2025-02-10,55
KSAT,San Antonio International,2025-02-11,58
KSAT,San Antonio International,2025-02-12,68
KSAT,San Antonio International,2025-02-13,49
KSAT,San Antonio International,2025-02-14,49
KSAT,San Antonio International,2025-02-15,72
KSAT,San Antonio International,2025-02-16,59
KSAT,San Antonio International,2025-02-17,66
KSAT,San Antonio International,2025-02-18,72
KSAT,San Antonio International,2025-02-19,38
KSAT,San Antonio International,2025-02-20,37
KSAT,San Antonio International,2025-02-21,40
KSAT,San Antonio International,2025-02-22,44
KSAT,San Antonio International,2025-02-23,66
KSAT,San Antonio International,2025-02-24,76
