station_id,station_name,date,observed_high_f
KSEA,Seattle Tacoma,2025-01-01,44
KSEA,Seattle Tacoma,2025-01-02,45
KSEA,Seattle Tacoma,2025-01-03,46
KSEA,Seattle Tacoma,2025-01-04,47
KSEA,Seattle Tacoma,2025-01-05,49
KSEA,Seattle Tacoma,2025-01-06,46
KSEA,Seattle Tacoma,2025-01-07,44
KSEA,Seattle Tacoma,2025-01-08,50
KSEA,Seattle Tacoma,2025-01-09,52
KSEA,Seattle Tacoma,2025-01-10,48
KSEA,Seattle Tacoma,2025-01-11,46
KSEA,Seattle Tacoma,2025-01-12,43
KSEA,Seattle Tacoma,2025-01-13,41
KSEA,Seattle Tacoma,2025-01-14,41
KSEA,Seattle Tacoma,2025-01-15,41
KSEA,Seattle Tacoma,2025-01-16,43
KSEA,Seattle Tacoma,2025-01-17,43
KSEA,Seattle Tacoma,2025-01-18,43
KSEA,Seattle Tacoma,2025-01-19,42
KSEA,Seattle Tacoma,2025-01-20,43
KSEA,Seattle Tacoma,2025-01-21,43
KSEA,Seattle Tacoma,2025-01-22,44
KSEA,Seattle Tacoma,2025-01-23,42
KSEA,Seattle Tacoma,2025-01-24,43
KSEA,Seattle Tacoma,2025-01-25,44
KSEA,Seattle Tacoma,2025-01-26,44
KSEA,Seattle Tacoma,2025-01-27,47
KSEA,Seattle Tacoma,2025-01-28,47
KSEA,Seattle Tacoma,2025-01-29,47
KSEA,Seattle Tacoma,2025-01-30,43
KSEA,Seattle Tacoma,2025-01-31,50
KSEA,Seattle Tacoma,2025-02-01,40
KSEA,Seattle Tacoma,2025-02-02,36
KSEA,Seattle Tacoma,2025-02-03,39
KSEA,Seattle Tacoma,2025-02-04,42
KSEA,Seattle Tacoma,2025-02-05,39
KSEA,Seattle Tacoma,2025-02-06,39
KSEA,Seattle Tacoma,2025-02-07,39
KSEA,Seattle Tacoma,2025-02-08,38
KSEA,Seattle Tacoma,2025-02-09,40
KSEA,Seattle Tacoma,2025-02-10,40
KSEA,Seattle Tacoma,2025-02-11,36
KSEA,Seattle Tacoma,2025-02-12,42
KSEA,Seattle Tacoma,2025-02-13,36
KSEA,Seattle Tacoma,2025-02-14,40
KSEA,Seattle Tacoma,2025-02-15,43
KSEA,Seattle Tacoma,2025-02-16,52
KSEA,Seattle Tacoma,2025-02-17,47
KSEA,Seattle Tacoma,2025-02-18,53
KSEA,Seattle Tacoma,2025-02-19,51
KSEA,Seattle Tacoma,2025-02-20,49
KSEA,Seattle Tacoma,2025-02-21,50
