station_id,station_name,date,observed_high_f
KSFO,San Francisco International,2025-01-01,55
KSFO,San Francisco International,2025-01-02,60
KSFO,San Francisco International,2025-01-03,61
KSFO,San Francisco International,2025-01-04,55
KSFO,San Francisco International,2025-01-05,59
KSFO,San Francisco International,2025-01-06,58
KSFO,San Francisco International,2025-01-07,65
KSFO,San Francisco International,2025-01-08,65
KSFO,San Francisco International,2025-01-09,71
KSFO,San Francisco International,2025-01-10,65
KSFO,San Francisco International,2025-01-11,66
KSFO,San Francisco International,2025-01-12,64
KSFO,San Francisco International,2025-01-13,61
KSFO,San Francisco International,2025-01-14,62
KSFO,San Francisco International,2025-01-15,57
KSFO,San Francisco International,2025-01-16,60
KSFO,San Francisco International,2025-01-17,56
KSFO,San Francisco International,2025-01-18,55
KSFO,San Francisco International,2025-01-19,54
KSFO,San Francisco International,2025-01-20,61
KSFO,San Francisco International,2025-01-21,60
KSFO,San Francisco International,2025-01-22,62
KSFO,San Francisco International,2025-01-23,67
KSFO,San Francisco International,2025-01-24,60
KSFO,San Francisco International,2025-01-25,58
KSFO,San Francisco International,2025-01-26,57
KSFO,San Francisco International,2025-01-27,60
KSFO,San Francisco International,2025-01-28,58
KSFO,San Francisco International,2025-01-29,55
KSFO,San Francisco International,2025-01-30,53
KSFO,San Francisco International,2025-01-31,56
KSFO,San Francisco International,2025-02-01,62
KSFO,San Francisco International,2025-02-02,61
KSFO,San Francisco International,2025-02-03,62
KSFO,San Francisco International,2025-02-04,62
KSFO,San Francisco International,2025-02-05,56
KSFO,San Francisco International,2025-02-06,63
KSFO,San Francisco International,2025-02-07,58
KSFO,San Francisco International,2025-02-08,57
KSFO,San Francisco International,2025-02-09,57
KSFO,San Francisco International,2025-02-10,57
KSFO,San Francisco International,2025-02-11,54
KSFO,San Francisco International,2025-02-12,53
KSFO,San Francisco International,2025-02-13,60
KSFO,San Francisco International,2025-02-14,57
KSFO,San Francisco International,2025-02-15,57
KSFO,San Francisco International,2025-02-16,59
KSFO,San Francisco International,2025-02-17,59
KSFO,San Francisco International,2025-02-18,59
KSFO,San Francisco International,2025-02-19,64
KSFO,San Francisco International,2025-02-20,65
KSFO,San Francisco International,2025-02-21,66
KSFO,San Francisco International,2025-02-22,64
KSFO,San Francisco International,2025-02-23,62
KSFO,San Francisco International,2025-02-24,64
KSFO,San Francisco International,2025-02-25,64
KSFO,San Francisco International,2025-02-26,69
KSFO,San Francisco International,2025-02-27,71
KSFO,San Francisco International,2025-02-28,70
KSFO,San Francisco International,2025-03-01,59
KSFO,San Francisco International,2025-03-02,57
KSFO,San Francisco International,2025-03-03,57
KSFO,San Francisco International,2025-03-04,60
KSFO,San Francisco International,2025-03-05,56
KSFO,San Francisco International,2025-03-06,58
KSFO,San Francisco International,2025-03-07,64
KSFO,San Francisco International,2025-03-08,63
KSFO,San Francisco International,2025-03-09,61
KSFO,San Francisco International,2025-03-10,66
KSFO,San Francisco International,2025-03-11,64
KSFO,San Francisco International,2025-03-12,61
KSFO,San Francisco International,2025-03-13,54
KSFO,San Francisco International,2025-03-14,58
KSFO,San Francisco International,2025-03-15,61
KSFO,San Francisco International,2025-03-16,60
KSFO,San Francisco International,2025-03-17,58
KSFO,San Francisco International,2025-03-18,59
KSFO,San Francisco International,2025-03-19,60
KSFO,San Francisco International,2025-03-20,60
KSFO,San Francisco International,2025-03-21,61
KSFO,San Francisco International,2025-03-22,61
KSFO,San Francisco International,2025-03-23,66
KSFO,San Francisco International,2025-03-24,76
KSFO,San Francisco International,2025-03-25,82
KSFO,San Francisco International,2025-03-26,63
KSFO,San Francisco International,2025-03-27,63
KSFO,San Francisco International,2025-03-28,61
KSFO,San Francisco International,2025-03-29,59
KSFO,San Francisco International,2025-03-30,65
KSFO,San Francisco International,2025-03-31,61
KSFO,San Francisco International,2025-04-01,57
KSFO,San Francisco International,2025-04-02,59
KSFO,San Francisco International,2025-04-03,61
KSFO,San Francisco International,2025-04-04,70
KSFO,San Francisco International,2025-04-05,69
KSFO,San Francisco International,2025-04-06,67
KSFO,San Francisco International,2025-04-07,64
KSFO,San Francisco International,2025-04-08,65
KSFO,San Francisco International,2025-04-09,73
KSFO,San Francisco International,2025-04-10,67
KSFO,San Francisco International,2025-04-11,64
KSFO,San Francisco International,2025-04-12,61
KSFO,San Francisco International,2025-04-13,78
KSFO,San Francisco International,2025-04-14,67
KSFO,San Francisco International,2025-04-15,65
KSFO,San Francisco International,2025-04-16,62
KSFO,San Francisco International,2025-04-17,61
KSFO,San Francisco International,2025-04-18,64
KSFO,San Francisco International,2025-04-19,65
KSFO,San Francisco International,2025-04-20,63
KSFO,San Francisco International,2025-04-21,70
KSFO,San Francisco International,2025-04-22,68
KSFO,San Francisco International,2025-04-23,58
KSFO,San Francisco International,2025-04-24,56
KSFO,San Francisco International,2025-04-25,60
KSFO,San Francisco International,2025-04-26,61
KSFO,San Francisco International,2025-04-27,57
KSFO,San Francisco International,2025-04-28,64
KSFO,San Francisco International,2025-04-29,70
KSFO,San Francisco International,2025-04-30,67
KSFO,San Francisco International,2025-05-01,65
KSFO,San Francisco International,2025-05-02,61
KSFO,San Francisco International,2025-05-03,60
KSFO,San Francisco International,2025-05-04,65
KSFO,San Francisco International,2025-05-05,81
KSFO,San Francisco International,2025-05-06,74
KSFO,San Francisco International,2025-05-07,66
KSFO,San Francisco International,2025-05-08,73
KSFO,San Francisco International,2025-05-09,78
KSFO,San Francisco International,2025-05-10,68
KSFO,San Francisco International,2025-05-11,64
KSFO,San Francisco International,2025-05-12,63
KSFO,San Francisco International,2025-05-13,66
KSFO,San Francisco International,2025-05-14,68
KSFO,San Francisco International,2025-05-15,70
KSFO,San Francisco International,2025-05-16,68
KSFO,San Francisco International,2025-05-17,63
KSFO,San Francisco International,2025-05-18,66
KSFO,San Francisco International,2025-05-19,70
KSFO,San Francisco International,2025-05-20,65
KSFO,San Francisco International,2025-05-21,72
KSFO,San Francisco International,2025-05-22,65
KSFO,San Francisco International,2025-05-23,61
KSFO,San Francisco International,2025-05-24,60
KSFO,San Francisco International,2025-05-25,64
KSFO,San Francisco International,2025-05-26,65
KSFO,San Francisco International,2025-05-27,68
KSFO,San Francisco International,2025-05-28,64
KSFO,San Francisco International,2025-05-29,70
KSFO,San Francisco International,2025-05-30,80
KSFO,San Francisco International,2025-05-31,74
KSFO,San Francisco International,2025-06-01,65
KSFO,San Francisco International,2025-06-02,72
KSFO,San Francisco International,2025-06-03,71
KSFO,San Francisco International,2025-06-04,68
KSFO,San Francisco International,2025-06-05,70
KSFO,San Francisco International,2025-06-06,69
KSFO,San Francisco International,2025-06-07,66
KSFO,San Francisco International,2025-06-08,67
KSFO,San Francisco International,2025-06-09,65
KSFO,San Francisco International,2025-06-10,64
KSFO,San Francisco International,2025-06-11,62
KSFO,San Francisco International,2025-06-12,62
KSFO,San Francisco International,2025-06-13,67
KSFO,San Francisco International,2025-06-14,66
KSFO,San Francisco International,2025-06-15,66
KSFO,San Francisco International,2025-06-16,64
KSFO,San Francisco International,2025-06-17,67
KSFO,San Francisco International,2025-06-18,68
KSFO,San Francisco International,2025-06-19,62
KSFO,San Francisco International,2025-06-20,63
KSFO,San Francisco International,2025-06-21,68
KSFO,San Francisco International,2025-06-22,67
KSFO,San Francisco International,2025-06-23,67
KSFO,San Francisco International,2025-06-24,64
KSFO,San Francisco International,2025-06-25,64
KSFO,San Francisco International,2025-06-26,65
KSFO,San Francisco International,2025-06-27,72
KSFO,San Francisco International,2025-06-28,78
KSFO,San Francisco International,2025-06-29,69
KSFO,San Francisco International,2025-06-30,67
KSFO,San Francisco International,2025-07-01,69
KSFO,San Francisco International,2025-07-02,69
KSFO,San Francisco International,2025-07-03,65
KSFO,San Francisco International,2025-07-04,67
