station_id,station_name,forecast_issued_utc,forecast_for_date,forecast_high_f,n_hours_in_forecast,forecast_issued_local
KSEA,Seattle Tacoma,2026-04-01 22:37 UTC,2026-04-02,52,24,NA
KSEA,Seattle Tacoma,2026-04-02 17:02 UTC,2026-04-03,56,24,NA
KSEA,Seattle Tacoma,2026-04-02 18:57 UTC,2026-04-03,56,24,2026-04-02 11:57 PDT
KSEA,Seattle Tacoma,2026-04-02 22:36 UTC,2026-04-03,56,24,2026-04-02 15:36 PDT
KSEA,Seattle Tacoma,2026-04-03 02:13 UTC,2026-04-03,56,24,2026-04-02 19:13 PDT
KSEA,Seattle Tacoma,2026-04-03 07:08 UTC,2026-04-04,61,24,2026-04-03 00:08 PDT
KSEA,Seattle Tacoma,2026-04-03 08:54 UTC,2026-04-04,61,24,2026-04-03 01:55 PDT
KSEA,Seattle Tacoma,2026-04-03 10:43 UTC,2026-04-04,61,24,2026-04-03 03:43 PDT
KSEA,Seattle Tacoma,2026-04-03 13:04 UTC,2026-04-04,61,24,2026-04-03 06:04 PDT
KSEA,Seattle Tacoma,2026-04-03 14:42 UTC,2026-04-04,61,24,2026-04-03 07:42 PDT
KSEA,Seattle Tacoma,2026-04-03 16:40 UTC,2026-04-04,61,24,2026-04-03 09:40 PDT
KSEA,Seattle Tacoma,2026-04-03 18:47 UTC,2026-04-04,61,24,2026-04-03 11:47 PDT
KSEA,Seattle Tacoma,2026-04-03 20:37 UTC,2026-04-04,61,24,2026-04-03 13:37 PDT
KSEA,Seattle Tacoma,2026-04-03 22:33 UTC,2026-04-04,61,24,2026-04-03 15:33 PDT
KSEA,Seattle Tacoma,2026-04-04 02:06 UTC,2026-04-04,61,24,2026-04-03 19:07 PDT
KSEA,Seattle Tacoma,2026-04-04 07:01 UTC,2026-04-05,65,24,2026-04-04 00:01 PDT
KSEA,Seattle Tacoma,2026-04-04 08:41 UTC,2026-04-05,65,24,2026-04-04 01:41 PDT
KSEA,Seattle Tacoma,2026-04-04 10:33 UTC,2026-04-05,65,24,2026-04-04 03:33 PDT
KSEA,Seattle Tacoma,2026-04-04 12:55 UTC,2026-04-05,65,24,2026-04-04 05:55 PDT
KSEA,Seattle Tacoma,2026-04-04 14:34 UTC,2026-04-05,65,24,2026-04-04 07:34 PDT
KSEA,Seattle Tacoma,2026-04-04 16:36 UTC,2026-04-05,65,24,2026-04-04 09:36 PDT
KSEA,Seattle Tacoma,2026-04-04 18:42 UTC,2026-04-05,66,24,2026-04-04 11:42 PDT
KSEA,Seattle Tacoma,2026-04-04 20:32 UTC,2026-04-05,66,24,2026-04-04 13:32 PDT
KSEA,Seattle Tacoma,2026-04-04 22:30 UTC,2026-04-05,66,24,2026-04-04 15:30 PDT
KSEA,Seattle Tacoma,2026-04-05 02:28 UTC,2026-04-05,66,24,2026-04-04 19:28 PDT
KSEA,Seattle Tacoma,2026-04-05 07:06 UTC,2026-04-06,68,24,2026-04-05 00:06 PDT
KSEA,Seattle Tacoma,2026-04-05 08:42 UTC,2026-04-06,68,24,2026-04-05 01:43 PDT
KSEA,Seattle Tacoma,2026-04-05 10:34 UTC,2026-04-06,68,24,2026-04-05 03:34 PDT
KSEA,Seattle Tacoma,2026-04-05 12:57 UTC,2026-04-06,68,24,2026-04-05 05:57 PDT
KSEA,Seattle Tacoma,2026-04-05 14:37 UTC,2026-04-06,68,24,2026-04-05 07:37 PDT
KSEA,Seattle Tacoma,2026-04-05 16:37 UTC,2026-04-06,68,24,2026-04-05 09:37 PDT
KSEA,Seattle Tacoma,2026-04-05 18:44 UTC,2026-04-06,69,24,2026-04-05 11:44 PDT
KSEA,Seattle Tacoma,2026-04-05 20:33 UTC,2026-04-06,69,24,2026-04-05 13:33 PDT
KSEA,Seattle Tacoma,2026-04-05 22:31 UTC,2026-04-06,69,24,2026-04-05 15:31 PDT
KSEA,Seattle Tacoma,2026-04-06 02:28 UTC,2026-04-06,69,24,2026-04-05 19:28 PDT
KSEA,Seattle Tacoma,2026-04-06 07:58 UTC,2026-04-07,55,24,2026-04-06 00:59 PDT
KSEA,Seattle Tacoma,2026-04-06 09:17 UTC,2026-04-07,55,24,2026-04-06 02:17 PDT
KSEA,Seattle Tacoma,2026-04-06 10:57 UTC,2026-04-07,55,24,2026-04-06 03:57 PDT
KSEA,Seattle Tacoma,2026-04-06 13:10 UTC,2026-04-07,55,24,2026-04-06 06:10 PDT
KSEA,Seattle Tacoma,2026-04-06 14:47 UTC,2026-04-07,55,24,2026-04-06 07:47 PDT
KSEA,Seattle Tacoma,2026-04-06 18:59 UTC,2026-04-07,56,24,2026-04-06 11:59 PDT
KSEA,Seattle Tacoma,2026-04-06 20:38 UTC,2026-04-07,56,24,2026-04-06 13:38 PDT
KSEA,Seattle Tacoma,2026-04-06 22:37 UTC,2026-04-07,56,24,2026-04-06 15:37 PDT
KSEA,Seattle Tacoma,2026-04-07 02:24 UTC,2026-04-07,56,24,2026-04-06 19:24 PDT
KSEA,Seattle Tacoma,2026-04-07 07:17 UTC,2026-04-08,60,24,2026-04-07 00:18 PDT
KSEA,Seattle Tacoma,2026-04-07 09:24 UTC,2026-04-08,60,24,2026-04-07 02:24 PDT
KSEA,Seattle Tacoma,2026-04-07 10:55 UTC,2026-04-08,60,24,2026-04-07 03:55 PDT
KSEA,Seattle Tacoma,2026-04-07 13:19 UTC,2026-04-08,60,24,2026-04-07 06:19 PDT
KSEA,Seattle Tacoma,2026-04-07 15:08 UTC,2026-04-08,60,24,2026-04-07 08:08 PDT
KSEA,Seattle Tacoma,2026-04-07 16:59 UTC,2026-04-08,60,24,2026-04-07 09:59 PDT
KSEA,Seattle Tacoma,2026-04-07 19:03 UTC,2026-04-08,60,24,2026-04-07 12:04 PDT
KSEA,Seattle Tacoma,2026-04-07 20:48 UTC,2026-04-08,60,24,2026-04-07 13:48 PDT
KSEA,Seattle Tacoma,2026-04-07 23:07 UTC,2026-04-08,60,24,2026-04-07 16:08 PDT
KSEA,Seattle Tacoma,2026-04-08 02:25 UTC,2026-04-08,60,24,2026-04-07 19:25 PDT
KSEA,Seattle Tacoma,2026-04-08 07:20 UTC,2026-04-09,65,24,2026-04-08 00:20 PDT
KSEA,Seattle Tacoma,2026-04-08 09:01 UTC,2026-04-09,65,24,2026-04-08 02:01 PDT
KSEA,Seattle Tacoma,2026-04-08 13:24 UTC,2026-04-09,65,24,2026-04-08 06:24 PDT
KSEA,Seattle Tacoma,2026-04-08 15:11 UTC,2026-04-09,65,24,2026-04-08 08:11 PDT
KSEA,Seattle Tacoma,2026-04-08 17:02 UTC,2026-04-09,65,24,2026-04-08 10:02 PDT
KSEA,Seattle Tacoma,2026-04-08 19:16 UTC,2026-04-09,65,24,2026-04-08 12:16 PDT
KSEA,Seattle Tacoma,2026-04-08 20:42 UTC,2026-04-09,65,24,2026-04-08 13:43 PDT
KSEA,Seattle Tacoma,2026-04-08 22:39 UTC,2026-04-09,65,24,2026-04-08 15:40 PDT
KSEA,Seattle Tacoma,2026-04-09 02:11 UTC,2026-04-09,65,24,2026-04-08 19:11 PDT
KSEA,Seattle Tacoma,2026-04-09 07:22 UTC,2026-04-10,67,24,2026-04-09 00:22 PDT
KSEA,Seattle Tacoma,2026-04-09 09:07 UTC,2026-04-10,67,24,2026-04-09 02:07 PDT
KSEA,Seattle Tacoma,2026-04-09 13:27 UTC,2026-04-10,67,24,2026-04-09 06:27 PDT
KSEA,Seattle Tacoma,2026-04-09 15:24 UTC,2026-04-10,67,24,2026-04-09 08:24 PDT
KSEA,Seattle Tacoma,2026-04-09 17:08 UTC,2026-04-10,67,24,2026-04-09 10:08 PDT
KSEA,Seattle Tacoma,2026-04-09 19:07 UTC,2026-04-10,67,24,2026-04-09 12:07 PDT
KSEA,Seattle Tacoma,2026-04-09 20:52 UTC,2026-04-10,67,24,2026-04-09 13:52 PDT
KSEA,Seattle Tacoma,2026-04-09 22:41 UTC,2026-04-10,67,24,2026-04-09 15:41 PDT
KSEA,Seattle Tacoma,2026-04-10 02:30 UTC,2026-04-10,67,24,2026-04-09 19:30 PDT
KSEA,Seattle Tacoma,2026-04-10 07:51 UTC,2026-04-11,55,24,2026-04-10 00:52 PDT
KSEA,Seattle Tacoma,2026-04-10 09:12 UTC,2026-04-11,55,24,2026-04-10 02:12 PDT
