station_id,station_name,date_local,hour_local,iem_obs_time,iem_temp_f,iem_temp_f_max,iem_dewpoint_f,iem_rh_pct,iem_wind_kts,iem_wind_dir,iem_precip_in,iem_n_obs,vc_temp_f,vc_dewpoint_f,vc_rh_pct,vc_wind_mph,vc_wind_dir,vc_precip_in,vc_conditions,vc_source,temp_diff_f,abs_diff_f,flag
KATL,Atlanta Hartsfield,2026-04-06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.9,37.1,47.48,13.8,330,0,Partially cloudy,obs,NA,NA,missing
KATL,Atlanta Hartsfield,2026-04-06,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,37.1,49.04,13.8,330,0,Partially cloudy,obs,NA,NA,missing
KATL,Atlanta Hartsfield,2026-04-06,10,10:52,57.9,57.9,35.1,42.2,6,40,NA,13,55.1,36.1,48.57,9.1,360,0,Overcast,obs,-2.8,2.8,ok
KATL,Atlanta Hartsfield,2026-04-06,11,11:05,57.2,57.2,35.6,44.2,3,330,NA,1,56.9,36.9,47.09,5.8,30,0,Partially cloudy,fcst,-0.3,0.3,ok
KATL,Atlanta Hartsfield,2026-04-06,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.9,36,42.33,5.8,30,0,Partially cloudy,fcst,NA,NA,missing
KATL,Atlanta Hartsfield,2026-04-06,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.9,35,33.93,5.8,30,0,Partially cloudy,fcst,NA,NA,missing
KATL,Atlanta Hartsfield,2026-04-06,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,34.1,31.53,5.8,10,0,Partially cloudy,fcst,NA,NA,missing
KATL,Atlanta Hartsfield,2026-04-06,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,31.9,26.99,4.7,10,0,Partially cloudy,fcst,NA,NA,missing
KATL,Atlanta Hartsfield,2026-04-06,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.9,31,25.23,4.7,10,0,Partially cloudy,fcst,NA,NA,missing
KATL,Atlanta Hartsfield,2026-04-06,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.9,31,25.23,4.7,0,0,Partially cloudy,fcst,NA,NA,missing
KATL,Atlanta Hartsfield,2026-04-06,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.9,31.9,26.17,3.4,0,0,Partially cloudy,fcst,NA,NA,missing
KATL,Atlanta Hartsfield,2026-04-06,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,34.1,29.44,3.4,0,0,Partially cloudy,fcst,NA,NA,missing
KATL,Atlanta Hartsfield,2026-04-06,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.1,37.1,50.66,11.4,330,0,Partially cloudy,obs,NA,NA,missing
KATL,Atlanta Hartsfield,2026-04-06,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.9,35,33.93,2.2,350,0,Partially cloudy,fcst,NA,NA,missing
KATL,Atlanta Hartsfield,2026-04-06,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,36.9,39.34,2.2,340,0,Partially cloudy,fcst,NA,NA,missing
KATL,Atlanta Hartsfield,2026-04-06,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.9,38,45.76,3.4,350,0,Partially cloudy,fcst,NA,NA,missing
KATL,Atlanta Hartsfield,2026-04-06,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,38.9,48.96,3.4,0,0,Partially cloudy,fcst,NA,NA,missing
KATL,Atlanta Hartsfield,2026-04-06,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,37.1,52.69,12.7,330,0,Partially cloudy,obs,NA,NA,missing
KATL,Atlanta Hartsfield,2026-04-06,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.1,37.1,56.63,9.1,330,0,Partially cloudy,obs,NA,NA,missing
KATL,Atlanta Hartsfield,2026-04-06,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.1,37.1,54.43,11.4,340,0,Partially cloudy,obs,NA,NA,missing
KATL,Atlanta Hartsfield,2026-04-06,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.1,36,54.26,8,340,0,Partially cloudy,obs,NA,NA,missing
KATL,Atlanta Hartsfield,2026-04-06,7,07:52,50,51.8,36,58.4,6,330,NA,11,51.1,35.2,54.2,8,340,0,Partially cloudy,obs,1.1,1.1,ok
KATL,Atlanta Hartsfield,2026-04-06,8,08:52,52,52,37,56.6,9.9,340,NA,13,49.9,36,58.8,6.9,330,0,Partially cloudy,obs,-2.1,2.1,ok
KATL,Atlanta Hartsfield,2026-04-06,9,09:52,55,55.4,36,48.5,8,360,NA,12,52,37.1,56.66,11.3,340,0,Partially cloudy,obs,-3,3,moderate_diff
