station_id,station_name,date_local,hour_local,iem_obs_time,iem_temp_f,iem_temp_f_max,iem_dewpoint_f,iem_rh_pct,iem_wind_kts,iem_wind_dir,iem_precip_in,iem_n_obs,vc_temp_f,vc_dewpoint_f,vc_rh_pct,vc_wind_mph,vc_wind_dir,vc_precip_in,vc_conditions,vc_source,temp_diff_f,abs_diff_f,flag
KAUS,Austin Bergstrom,2026-04-06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.1,44.1,69.06,5.8,350,0,Partially cloudy,obs,NA,NA,missing
KAUS,Austin Bergstrom,2026-04-06,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.2,43.1,73.66,8,350,0,Partially cloudy,obs,NA,NA,missing
KAUS,Austin Bergstrom,2026-04-06,10,10:00,62.6,62.6,42.8,48.3,9,40,NA,1,62.1,42.2,47.91,11.4,30,0,Partially cloudy,obs,-0.5,0.5,ok
KAUS,Austin Bergstrom,2026-04-06,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.9,45,50.2,10.3,40,0,Clear,fcst,NA,NA,missing
KAUS,Austin Bergstrom,2026-04-06,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,44,43.32,10.3,50,0,Clear,fcst,NA,NA,missing
KAUS,Austin Bergstrom,2026-04-06,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,44,40.47,10.3,40,0,Partially cloudy,fcst,NA,NA,missing
KAUS,Austin Bergstrom,2026-04-06,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.1,44,39,10.3,40,0,Clear,fcst,NA,NA,missing
KAUS,Austin Bergstrom,2026-04-06,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,43.1,36.54,10.3,40,0,Clear,fcst,NA,NA,missing
KAUS,Austin Bergstrom,2026-04-06,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,44,37.82,10.3,50,0,Clear,fcst,NA,NA,missing
KAUS,Austin Bergstrom,2026-04-06,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.1,43.1,35.23,9.2,50,0,Clear,fcst,NA,NA,missing
KAUS,Austin Bergstrom,2026-04-06,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.9,44,35.37,8.1,50,0,Clear,fcst,NA,NA,missing
KAUS,Austin Bergstrom,2026-04-06,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,44,37.82,5.8,60,0,Clear,fcst,NA,NA,missing
KAUS,Austin Bergstrom,2026-04-06,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.9,42.2,57.74,9.2,340,0,Partially cloudy,obs,NA,NA,missing
KAUS,Austin Bergstrom,2026-04-06,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.9,44,44.97,5.8,70,0,Clear,fcst,NA,NA,missing
KAUS,Austin Bergstrom,2026-04-06,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,45,57.73,4.7,70,0,Clear,fcst,NA,NA,missing
KAUS,Austin Bergstrom,2026-04-06,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,45,61.97,3.4,60,0,Clear,fcst,NA,NA,missing
KAUS,Austin Bergstrom,2026-04-06,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,45.9,68.86,2.2,50,0,Clear,fcst,NA,NA,missing
KAUS,Austin Bergstrom,2026-04-06,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.1,43.1,63.78,8,350,0,Partially cloudy,obs,NA,NA,missing
KAUS,Austin Bergstrom,2026-04-06,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.1,43.1,66.3,4.7,340,0,Partially cloudy,obs,NA,NA,missing
KAUS,Austin Bergstrom,2026-04-06,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.1,42.2,68.85,5.8,340,0,Partially cloudy,obs,NA,NA,missing
KAUS,Austin Bergstrom,2026-04-06,6,06:53,46.9,51.8,41,79.7,0,0,NA,12,51.2,42.2,71.19,0,360,0,Partially cloudy,obs,4.3,4.3,moderate_diff
KAUS,Austin Bergstrom,2026-04-06,7,07:53,52,52,43,71.3,4.1,340,NA,13,47.1,40.9,79.1,0,360,0,Partially cloudy,obs,-4.9,4.9,moderate_diff
KAUS,Austin Bergstrom,2026-04-06,8,08:53,57,57.2,43,59.3,8.9,10,NA,12,52.1,43.1,71.28,4.7,340,0,Partially cloudy,obs,-4.9,4.9,moderate_diff
KAUS,Austin Bergstrom,2026-04-06,9,09:53,62.1,62.6,42.1,47.9,9.9,30,NA,12,56.9,43.1,59.72,10.3,10,0,Partially cloudy,obs,-5.2,5.2,LARGE_DIFF
