station_id,station_name,date_local,hour_local,iem_obs_time,iem_temp_f,iem_temp_f_max,iem_dewpoint_f,iem_rh_pct,iem_wind_kts,iem_wind_dir,iem_precip_in,iem_n_obs,vc_temp_f,vc_dewpoint_f,vc_rh_pct,vc_wind_mph,vc_wind_dir,vc_precip_in,vc_conditions,vc_source,temp_diff_f,abs_diff_f,flag
KDCA,Washington Reagan National,2026-04-06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.1,31.9,45.99,16.1,330,0,Partially cloudy,obs,NA,NA,missing
KDCA,Washington Reagan National,2026-04-06,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.2,30.8,45.52,7,310,0,Partially cloudy,obs,NA,NA,missing
KDCA,Washington Reagan National,2026-04-06,10,10:52,54,54,28.9,38,4.1,NA,NA,13,51.2,29,42.3,11.4,300,0,Partially cloudy,obs,-2.8,2.8,ok
KDCA,Washington Reagan National,2026-04-06,11,11:10,55.4,55.4,30.2,38,NA,NA,NA,3,52.1,31.9,45.99,8.1,300,0,Clear,fcst,-3.3,3.3,moderate_diff
KDCA,Washington Reagan National,2026-04-06,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.1,31.9,42.77,8.1,290,0,Clear,fcst,NA,NA,missing
KDCA,Washington Reagan National,2026-04-06,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,31,38.38,8.1,280,0,Clear,fcst,NA,NA,missing
KDCA,Washington Reagan National,2026-04-06,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,31,35.73,9.2,280,0,Partially cloudy,fcst,NA,NA,missing
KDCA,Washington Reagan National,2026-04-06,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.1,29.9,30.67,9.2,270,0,Partially cloudy,fcst,NA,NA,missing
KDCA,Washington Reagan National,2026-04-06,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,29.9,29.71,9.2,270,0,Partially cloudy,fcst,NA,NA,missing
KDCA,Washington Reagan National,2026-04-06,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,31,31.04,9.2,280,0,Partially cloudy,fcst,NA,NA,missing
KDCA,Washington Reagan National,2026-04-06,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.1,31.9,30.98,10.3,300,0,Partially cloudy,fcst,NA,NA,missing
KDCA,Washington Reagan National,2026-04-06,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.1,34.1,36.23,9.2,310,0,Partially cloudy,fcst,NA,NA,missing
KDCA,Washington Reagan National,2026-04-06,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.2,30.8,45.51,13.9,310,0,Partially cloudy,obs,NA,NA,missing
KDCA,Washington Reagan National,2026-04-06,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,35,41.88,4.7,300,0,Partially cloudy,fcst,NA,NA,missing
KDCA,Washington Reagan National,2026-04-06,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,36,46.95,4.7,310,0,Clear,fcst,NA,NA,missing
KDCA,Washington Reagan National,2026-04-06,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.1,36.9,52.28,4.7,320,0,Clear,fcst,NA,NA,missing
KDCA,Washington Reagan National,2026-04-06,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.1,36,54.26,4.7,330,0,Clear,fcst,NA,NA,missing
KDCA,Washington Reagan National,2026-04-06,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.8,29,46.13,12.8,320,0,Partially cloudy,obs,NA,NA,missing
KDCA,Washington Reagan National,2026-04-06,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.9,28.1,45.99,8.1,290,0,Partially cloudy,obs,NA,NA,missing
KDCA,Washington Reagan National,2026-04-06,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,28.1,47.57,9.2,320,0,Partially cloudy,obs,NA,NA,missing
KDCA,Washington Reagan National,2026-04-06,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,28.1,47.58,10.3,310,0,Partially cloudy,obs,NA,NA,missing
KDCA,Washington Reagan National,2026-04-06,7,07:52,48,48.2,30,49.5,8.9,330,NA,8,47,28.1,47.58,10.3,320,0,Partially cloudy,obs,-1,1,ok
KDCA,Washington Reagan National,2026-04-06,8,08:52,50,50,30.9,47.7,8.9,300,NA,13,47.9,29.9,49.5,10.3,330,0,Partially cloudy,obs,-2.1,2.1,ok
KDCA,Washington Reagan National,2026-04-06,9,09:52,51.1,51.8,28.9,42.3,9.9,300,NA,13,49.9,30.8,47.68,10.3,300,0,Partially cloudy,obs,-1.2,1.2,ok
