station_id,station_name,date_local,hour_local,iem_obs_time,iem_temp_f,iem_temp_f_max,iem_dewpoint_f,iem_rh_pct,iem_wind_kts,iem_wind_dir,iem_precip_in,iem_n_obs,vc_temp_f,vc_dewpoint_f,vc_rh_pct,vc_wind_mph,vc_wind_dir,vc_precip_in,vc_conditions,vc_source,temp_diff_f,abs_diff_f,flag
KDEN,Denver International,2026-04-06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.9,18,42.51,11.4,160,0,Clear,obs,NA,NA,missing
KDEN,Denver International,2026-04-06,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,18.1,33.59,10.3,190,0,Partially cloudy,obs,NA,NA,missing
KDEN,Denver International,2026-04-06,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.1,25.1,34.76,4.7,310,0,Partially cloudy,fcst,NA,NA,missing
KDEN,Denver International,2026-04-06,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.9,25.1,29.11,3.4,20,0,Partially cloudy,fcst,NA,NA,missing
KDEN,Denver International,2026-04-06,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.1,24,24,4.7,60,0,Clear,fcst,NA,NA,missing
KDEN,Denver International,2026-04-06,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.9,24,21.69,6.9,70,0,Partially cloudy,fcst,NA,NA,missing
KDEN,Denver International,2026-04-06,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.9,22.9,19.35,9.2,80,0,Partially cloudy,fcst,NA,NA,missing
KDEN,Denver International,2026-04-06,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,22.9,18.64,10.3,80,0,Partially cloudy,fcst,NA,NA,missing
KDEN,Denver International,2026-04-06,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,22.9,18.64,11.4,80,0,Partially cloudy,fcst,NA,NA,missing
KDEN,Denver International,2026-04-06,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,24,20.89,13.9,90,0,Partially cloudy,fcst,NA,NA,missing
KDEN,Denver International,2026-04-06,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,25.1,24.32,15,100,0,Partially cloudy,fcst,NA,NA,missing
KDEN,Denver International,2026-04-06,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,26,29.07,16.1,100,0,Partially cloudy,fcst,NA,NA,missing
KDEN,Denver International,2026-04-06,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.1,18,34.76,6.9,220,0,Partially cloudy,obs,NA,NA,missing
KDEN,Denver International,2026-04-06,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.1,27.9,36.41,16.1,90,0,Partially cloudy,fcst,NA,NA,missing
KDEN,Denver International,2026-04-06,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,29,45.83,15,90,0,Partially cloudy,fcst,NA,NA,missing
KDEN,Denver International,2026-04-06,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,29,53.21,13.9,90,0,Partially cloudy,fcst,NA,NA,missing
KDEN,Denver International,2026-04-06,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,29.9,62.05,11.4,90,0,Partially cloudy,fcst,NA,NA,missing
KDEN,Denver International,2026-04-06,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.1,18.1,34.76,13.9,220,0,Partially cloudy,obs,NA,NA,missing
KDEN,Denver International,2026-04-06,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.1,19.1,37.94,9.2,250,0,Partially cloudy,obs,NA,NA,missing
KDEN,Denver International,2026-04-06,5,05:53,39,39.2,19.9,45.9,7,260,NA,8,40.9,20,42.84,11.4,250,0,Partially cloudy,obs,1.9,1.9,ok
KDEN,Denver International,2026-04-06,6,06:53,39.9,39.9,19.9,44.3,8,260,NA,13,38.9,20,46.27,8,260,0,Partially cloudy,obs,-1,1,ok
KDEN,Denver International,2026-04-06,7,07:53,44.1,44.6,21,39.6,8.9,260,NA,13,39.8,20,44.68,9.2,260,0,Partially cloudy,obs,-4.3,4.3,moderate_diff
KDEN,Denver International,2026-04-06,8,08:53,48,48.2,21.9,35.4,8.9,300,NA,13,44.2,20.9,39.3,10.3,260,0,Partially cloudy,obs,-3.8,3.8,moderate_diff
KDEN,Denver International,2026-04-06,9,09:10,48.2,48.2,23,36.8,7,300,NA,3,47.9,21.8,35.39,10.3,300,0,Partially cloudy,obs,-0.3,0.3,ok
