station_id,station_name,date_local,hour_local,iem_obs_time,iem_temp_f,iem_temp_f_max,iem_dewpoint_f,iem_rh_pct,iem_wind_kts,iem_wind_dir,iem_precip_in,iem_n_obs,vc_temp_f,vc_dewpoint_f,vc_rh_pct,vc_wind_mph,vc_wind_dir,vc_precip_in,vc_conditions,vc_source,temp_diff_f,abs_diff_f,flag
KDFW,Dallas Fort Worth,2026-04-06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,38.9,52.5,6.9,40,0,Partially cloudy,obs,NA,NA,missing
KDFW,Dallas Fort Worth,2026-04-06,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.1,37.1,56.52,6.9,20,0,Partially cloudy,obs,NA,NA,missing
KDFW,Dallas Fort Worth,2026-04-06,10,10:05,62.6,62.6,39.2,42,4,120,NA,2,60.2,38.9,45.33,4.7,70,0,Clear,obs,-2.4,2.4,ok
KDFW,Dallas Fort Worth,2026-04-06,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,45,53.82,4.7,90,0,Clear,fcst,NA,NA,missing
KDFW,Dallas Fort Worth,2026-04-06,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,44,46.4,4.7,100,0,Clear,fcst,NA,NA,missing
KDFW,Dallas Fort Worth,2026-04-06,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.9,43.1,40.57,4.7,80,0,Clear,fcst,NA,NA,missing
KDFW,Dallas Fort Worth,2026-04-06,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.1,43.1,37.68,3.4,70,0,Clear,fcst,NA,NA,missing
KDFW,Dallas Fort Worth,2026-04-06,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,42,35.06,4.7,70,0,Clear,fcst,NA,NA,missing
KDFW,Dallas Fort Worth,2026-04-06,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.1,42,33.8,4.7,80,0,Clear,fcst,NA,NA,missing
KDFW,Dallas Fort Worth,2026-04-06,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.1,40.9,32.42,5.8,80,0,Clear,fcst,NA,NA,missing
KDFW,Dallas Fort Worth,2026-04-06,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.9,40.9,31.45,5.8,90,0,Clear,fcst,NA,NA,missing
KDFW,Dallas Fort Worth,2026-04-06,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,42,35.06,5.8,100,0,Clear,fcst,NA,NA,missing
KDFW,Dallas Fort Worth,2026-04-06,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.1,38,54.5,3.4,20,0,Partially cloudy,obs,NA,NA,missing
KDFW,Dallas Fort Worth,2026-04-06,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,43.1,41.85,5.8,100,0,Clear,fcst,NA,NA,missing
KDFW,Dallas Fort Worth,2026-04-06,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.1,43.1,48.04,5.8,100,0,Partially cloudy,fcst,NA,NA,missing
KDFW,Dallas Fort Worth,2026-04-06,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.1,44,53.32,4.7,110,0,Partially cloudy,fcst,NA,NA,missing
KDFW,Dallas Fort Worth,2026-04-06,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,44,55.41,4.7,110,0,Partially cloudy,fcst,NA,NA,missing
KDFW,Dallas Fort Worth,2026-04-06,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.1,38,58.55,6.9,360,0,Partially cloudy,obs,NA,NA,missing
KDFW,Dallas Fort Worth,2026-04-06,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.1,38.9,60.71,5.8,360,0,Partially cloudy,obs,NA,NA,missing
KDFW,Dallas Fort Worth,2026-04-06,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.9,38.9,65.77,8,350,0,Partially cloudy,obs,NA,NA,missing
KDFW,Dallas Fort Worth,2026-04-06,6,06:53,48,48.2,39,70.9,5.1,350,NA,10,48.8,39.8,70.89,8,350,0,Partially cloudy,obs,0.8,0.8,ok
KDFW,Dallas Fort Worth,2026-04-06,7,07:53,51.1,51.8,41,68.3,5.1,350,NA,12,47.9,38.9,70.83,5.8,350,0,Partially cloudy,obs,-3.2,3.2,moderate_diff
KDFW,Dallas Fort Worth,2026-04-06,8,08:53,55.9,55.9,39.9,54.8,5.1,60,NA,13,51.2,40.9,67.8,5.8,350,0,Partially cloudy,obs,-4.7,4.7,moderate_diff
KDFW,Dallas Fort Worth,2026-04-06,9,09:53,60.1,60.8,39,45.6,4.1,70,NA,13,56,39.8,54.43,5.8,60,0,Partially cloudy,obs,-4.1,4.1,moderate_diff
