station_id,station_name,date_local,hour_local,iem_obs_time,iem_temp_f,iem_temp_f_max,iem_dewpoint_f,iem_rh_pct,iem_wind_kts,iem_wind_dir,iem_precip_in,iem_n_obs,vc_temp_f,vc_dewpoint_f,vc_rh_pct,vc_wind_mph,vc_wind_dir,vc_precip_in,vc_conditions,vc_source,temp_diff_f,abs_diff_f,flag
KHOU,Houston Hobby,2026-04-06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.1,45.1,53.59,10.2,20,0,Overcast,obs,NA,NA,missing
KHOU,Houston Hobby,2026-04-06,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,45.1,51.95,12.6,30,0,Overcast,obs,NA,NA,missing
KHOU,Houston Hobby,2026-04-06,10,10:05,62.6,62.6,42.8,48.3,15,40,NA,2,62.2,42.2,47.88,14.9,50,0,Partially cloudy,obs,-0.4,0.4,ok
KHOU,Houston Hobby,2026-04-06,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,44,46.4,13.9,50,0,Partially cloudy,fcst,NA,NA,missing
KHOU,Houston Hobby,2026-04-06,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,44,43.32,13.9,50,0,Partially cloudy,fcst,NA,NA,missing
KHOU,Houston Hobby,2026-04-06,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,44,40.47,12.8,50,0,Clear,fcst,NA,NA,missing
KHOU,Houston Hobby,2026-04-06,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,44,37.82,11.4,50,0,Partially cloudy,fcst,NA,NA,missing
KHOU,Houston Hobby,2026-04-06,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.9,43.1,34.18,10.3,50,0,Clear,fcst,NA,NA,missing
KHOU,Houston Hobby,2026-04-06,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.9,42,32.79,10.3,50,0,Clear,fcst,NA,NA,missing
KHOU,Houston Hobby,2026-04-06,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,43.1,32.96,10.3,50,0,Clear,fcst,NA,NA,missing
KHOU,Houston Hobby,2026-04-06,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.9,43.1,34.18,9.2,50,0,Clear,fcst,NA,NA,missing
KHOU,Houston Hobby,2026-04-06,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.1,43.1,35.23,6.9,50,0,Clear,fcst,NA,NA,missing
KHOU,Houston Hobby,2026-04-06,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.1,45.1,53.57,12.6,30,0,Overcast,obs,NA,NA,missing
KHOU,Houston Hobby,2026-04-06,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,44,40.47,5.8,50,0,Clear,fcst,NA,NA,missing
KHOU,Houston Hobby,2026-04-06,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,45,48.35,5.8,40,0,Clear,fcst,NA,NA,missing
KHOU,Houston Hobby,2026-04-06,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.9,45,50.2,5.8,40,0,Clear,fcst,NA,NA,missing
KHOU,Houston Hobby,2026-04-06,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,45,53.82,5.8,40,0,Clear,fcst,NA,NA,missing
KHOU,Houston Hobby,2026-04-06,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.1,44.2,51.84,11.3,30,0,Overcast,obs,NA,NA,missing
KHOU,Houston Hobby,2026-04-06,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.1,44.2,51.86,13.7,30,0,Overcast,obs,NA,NA,missing
KHOU,Houston Hobby,2026-04-06,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.1,45.1,57.44,14.9,40,0,Overcast,obs,NA,NA,missing
KHOU,Houston Hobby,2026-04-06,6,06:53,57,57.2,43,59.3,12.1,40,NA,9,58.9,45,59.99,14.9,40,0,Partially cloudy,obs,1.9,1.9,ok
KHOU,Houston Hobby,2026-04-06,7,07:53,57.9,57.9,43,57.4,9.9,20,NA,13,56.9,43.1,59.71,13.7,40,0,Partially cloudy,obs,-1,1,ok
KHOU,Houston Hobby,2026-04-06,8,08:53,60.1,60.8,41,49.3,13,40,NA,13,57.8,43.1,57.85,11.4,20,0,Partially cloudy,obs,-2.3,2.3,ok
KHOU,Houston Hobby,2026-04-06,9,09:53,62.1,62.6,42.1,47.9,13,50,NA,13,60.1,40.9,49.06,14.9,40,0,Partially cloudy,obs,-2,2,ok
