station_id,station_name,date_local,hour_local,iem_obs_time,iem_temp_f,iem_temp_f_max,iem_dewpoint_f,iem_rh_pct,iem_wind_kts,iem_wind_dir,iem_precip_in,iem_n_obs,vc_temp_f,vc_dewpoint_f,vc_rh_pct,vc_wind_mph,vc_wind_dir,vc_precip_in,vc_conditions,vc_source,temp_diff_f,abs_diff_f,flag
KLAS,Las Vegas Reid International,2026-04-06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.1,16.1,12.97,5.8,211,0,Partially cloudy,obs,NA,NA,missing
KLAS,Las Vegas Reid International,2026-04-06,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.8,16.1,14.05,4.7,230,0,Partially cloudy,obs,NA,NA,missing
KLAS,Las Vegas Reid International,2026-04-06,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.9,18.9,11.27,2.2,50,0,Partially cloudy,fcst,NA,NA,missing
KLAS,Las Vegas Reid International,2026-04-06,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,18,10.46,2.2,100,0,Partially cloudy,fcst,NA,NA,missing
KLAS,Las Vegas Reid International,2026-04-06,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.9,20,10.01,3.4,110,0,Partially cloudy,fcst,NA,NA,missing
KLAS,Las Vegas Reid International,2026-04-06,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,20.9,10.04,4.7,100,0,Partially cloudy,fcst,NA,NA,missing
KLAS,Las Vegas Reid International,2026-04-06,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.9,22,10.21,4.7,150,0,Partially cloudy,fcst,NA,NA,missing
KLAS,Las Vegas Reid International,2026-04-06,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.9,22,9.58,5.8,150,0,Partially cloudy,fcst,NA,NA,missing
KLAS,Las Vegas Reid International,2026-04-06,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,22,9.86,5.8,140,0,Partially cloudy,fcst,NA,NA,missing
KLAS,Las Vegas Reid International,2026-04-06,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,22,9.86,5.8,140,0,Partially cloudy,fcst,NA,NA,missing
KLAS,Las Vegas Reid International,2026-04-06,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,22,9.86,5.8,130,0,Partially cloudy,fcst,NA,NA,missing
KLAS,Las Vegas Reid International,2026-04-06,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.1,22,11.21,5.8,140,0,Partially cloudy,fcst,NA,NA,missing
KLAS,Las Vegas Reid International,2026-04-06,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.9,18,15.74,3.4,220,0,Partially cloudy,obs,NA,NA,missing
KLAS,Las Vegas Reid International,2026-04-06,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.9,25.1,14.59,5.8,170,0,Partially cloudy,fcst,NA,NA,missing
KLAS,Las Vegas Reid International,2026-04-06,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,25.1,16.06,4.7,200,0,Clear,fcst,NA,NA,missing
KLAS,Las Vegas Reid International,2026-04-06,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.1,25.1,17.17,4.7,240,0,Clear,fcst,NA,NA,missing
KLAS,Las Vegas Reid International,2026-04-06,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.1,25.1,18.37,4.7,300,0,Clear,fcst,NA,NA,missing
KLAS,Las Vegas Reid International,2026-04-06,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.9,19.1,16.47,0.2,357,0,Partially cloudy,obs,NA,NA,missing
KLAS,Las Vegas Reid International,2026-04-06,4,04:55,62.6,64.4,17.6,17.3,5,200,NA,9,65,17.2,15.68,5.8,210,0,Overcast,obs,2.4,2.4,ok
KLAS,Las Vegas Reid International,2026-04-06,5,05:55,64.4,64.9,17.6,16.3,4,210,NA,13,63,18,17.4,5.8,210,0,Overcast,obs,-1.4,1.4,ok
KLAS,Las Vegas Reid International,2026-04-06,6,06:55,64.4,64.9,19.4,17.6,3,210,NA,13,65,18.1,16.3,4.7,210,0,Overcast,obs,0.6,0.6,ok
KLAS,Las Vegas Reid International,2026-04-06,7,07:55,66.2,66.9,21.2,17.8,0,0,NA,13,65,19.1,17.03,3.4,210,0,Overcast,obs,-1.2,1.2,ok
KLAS,Las Vegas Reid International,2026-04-06,8,08:05,68,68,21.2,16.8,0,0,NA,2,66.8,20.9,17.23,0.1,2,0,Overcast,obs,-1.2,1.2,ok
KLAS,Las Vegas Reid International,2026-04-06,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.1,20,13.89,2.2,0,0,Partially cloudy,fcst,NA,NA,missing
