station_id,station_name,date_local,hour_local,iem_obs_time,iem_temp_f,iem_temp_f_max,iem_dewpoint_f,iem_rh_pct,iem_wind_kts,iem_wind_dir,iem_precip_in,iem_n_obs,vc_temp_f,vc_dewpoint_f,vc_rh_pct,vc_wind_mph,vc_wind_dir,vc_precip_in,vc_conditions,vc_source,temp_diff_f,abs_diff_f,flag
KMIA,Miami International,2026-04-06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.8,69.2,79.88,12.7,80,0,Partially cloudy,obs,NA,NA,missing
KMIA,Miami International,2026-04-06,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.9,69.2,82.32,12.7,90,0,Partially cloudy,obs,NA,NA,missing
KMIA,Miami International,2026-04-06,10,10:53,79,80.6,69.1,71.7,8.9,110,NA,13,78.2,70.1,76.16,11.4,130,0,Partially cloudy,obs,-0.8,0.8,ok
KMIA,Miami International,2026-04-06,11,11:05,80.6,80.6,68,65.6,9,90,NA,2,78,71,79.06,5.8,110,0.008,Partially cloudy,fcst,-2.6,2.6,ok
KMIA,Miami International,2026-04-06,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,71,74.08,6.9,110,0,Partially cloudy,fcst,NA,NA,missing
KMIA,Miami International,2026-04-06,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,71,74.08,9.2,110,0,Partially cloudy,fcst,NA,NA,missing
KMIA,Miami International,2026-04-06,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,72.1,76.84,9.2,100,0,Partially cloudy,fcst,NA,NA,missing
KMIA,Miami International,2026-04-06,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,72.1,76.84,9.2,110,0,Partially cloudy,fcst,NA,NA,missing
KMIA,Miami International,2026-04-06,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.1,71,71.51,9.2,100,0,Partially cloudy,fcst,NA,NA,missing
KMIA,Miami International,2026-04-06,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.1,71,76.3,9.2,100,0,Partially cloudy,fcst,NA,NA,missing
KMIA,Miami International,2026-04-06,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.1,71,76.3,8.1,100,0,Partially cloudy,fcst,NA,NA,missing
KMIA,Miami International,2026-04-06,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,70.1,76.67,6.9,100,0,Partially cloudy,fcst,NA,NA,missing
KMIA,Miami International,2026-04-06,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.9,69.2,82.36,10.3,90,0,Partially cloudy,obs,NA,NA,missing
KMIA,Miami International,2026-04-06,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.9,70.1,84.87,5.8,90,0,Partially cloudy,fcst,NA,NA,missing
KMIA,Miami International,2026-04-06,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.9,70.1,84.87,5.8,90,0.004,Partially cloudy,fcst,NA,NA,missing
KMIA,Miami International,2026-04-06,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.9,70.1,84.87,4.7,80,0,Partially cloudy,fcst,NA,NA,missing
KMIA,Miami International,2026-04-06,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,70.1,87.47,4.7,80,0,Partially cloudy,fcst,NA,NA,missing
KMIA,Miami International,2026-04-06,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.9,69.2,82.33,8,100,0,Partially cloudy,obs,NA,NA,missing
KMIA,Miami International,2026-04-06,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,69.2,84.82,8,110,0,Partially cloudy,obs,NA,NA,missing
KMIA,Miami International,2026-04-06,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,69.2,84.85,8,100,0,Partially cloudy,obs,NA,NA,missing
KMIA,Miami International,2026-04-06,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.1,69.2,87.47,5.8,89,0,Partially cloudy,obs,NA,NA,missing
KMIA,Miami International,2026-04-06,7,07:53,73.9,73.9,69.1,84.8,4.1,90,NA,9,73.1,67.9,83.82,3.3,87,0,Partially cloudy,obs,-0.8,0.8,ok
KMIA,Miami International,2026-04-06,8,08:53,77,77,70,79,5.1,NA,NA,13,74,69.2,84.87,4.6,89,0,Partially cloudy,obs,-3,3,moderate_diff
KMIA,Miami International,2026-04-06,9,09:53,78.1,78.8,70,76.2,9.9,130,NA,13,76.9,70.1,79.5,5.8,80,0,Partially cloudy,obs,-1.2,1.2,ok
