station_id,station_name,date_local,hour_local,iem_obs_time,iem_temp_f,iem_temp_f_max,iem_dewpoint_f,iem_rh_pct,iem_wind_kts,iem_wind_dir,iem_precip_in,iem_n_obs,vc_temp_f,vc_dewpoint_f,vc_rh_pct,vc_wind_mph,vc_wind_dir,vc_precip_in,vc_conditions,vc_source,temp_diff_f,abs_diff_f,flag
KMSP,Minneapolis St Paul,2026-04-06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.8,29.9,67.45,11.4,310,0,Overcast,obs,NA,NA,missing
KMSP,Minneapolis St Paul,2026-04-06,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.9,29.9,69.86,9.2,320,0,Partially cloudy,obs,NA,NA,missing
KMSP,Minneapolis St Paul,2026-04-06,10,10:05,33.8,33.8,17.6,51.1,NA,NA,NA,2,31.9,19.1,58.83,19.7,310,0,Overcast,obs,-1.9,1.9,ok
KMSP,Minneapolis St Paul,2026-04-06,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.9,18.9,58.37,13.9,330,0,Partially cloudy,fcst,NA,NA,missing
KMSP,Minneapolis St Paul,2026-04-06,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,18,53.78,13.9,330,0,Partially cloudy,fcst,NA,NA,missing
KMSP,Minneapolis St Paul,2026-04-06,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,17,47.43,12.8,330,0,Partially cloudy,fcst,NA,NA,missing
KMSP,Minneapolis St Paul,2026-04-06,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,16.1,43.7,13.9,330,0,Partially cloudy,fcst,NA,NA,missing
KMSP,Minneapolis St Paul,2026-04-06,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.9,15,40.24,13.9,340,0,Partially cloudy,fcst,NA,NA,missing
KMSP,Minneapolis St Paul,2026-04-06,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,13.9,36.79,12.8,340,0,Partially cloudy,fcst,NA,NA,missing
KMSP,Minneapolis St Paul,2026-04-06,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,13,38.23,12.8,340,0,Partially cloudy,fcst,NA,NA,missing
KMSP,Minneapolis St Paul,2026-04-06,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,11.9,36.45,12.8,340,0,Partially cloudy,fcst,NA,NA,missing
KMSP,Minneapolis St Paul,2026-04-06,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,11,36.56,11.4,350,0,Partially cloudy,fcst,NA,NA,missing
KMSP,Minneapolis St Paul,2026-04-06,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,29.9,72.37,13.9,310,0,Partially cloudy,obs,NA,NA,missing
KMSP,Minneapolis St Paul,2026-04-06,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.9,11.9,43.01,11.4,360,0,Clear,fcst,NA,NA,missing
KMSP,Minneapolis St Paul,2026-04-06,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.9,11.9,46.6,9.2,360,0,Clear,fcst,NA,NA,missing
KMSP,Minneapolis St Paul,2026-04-06,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,11.9,48.34,8.1,0,0,Clear,fcst,NA,NA,missing
KMSP,Minneapolis St Paul,2026-04-06,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.9,11.9,50.52,6.9,10,0,Clear,fcst,NA,NA,missing
KMSP,Minneapolis St Paul,2026-04-06,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.1,29.9,74.98,10.3,300,0,Partially cloudy,obs,NA,NA,missing
KMSP,Minneapolis St Paul,2026-04-06,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.1,29.9,78.23,13.9,310,0,Partially cloudy,obs,NA,NA,missing
KMSP,Minneapolis St Paul,2026-04-06,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.1,27.1,69.54,19.7,320,0,Overcast,obs,NA,NA,missing
KMSP,Minneapolis St Paul,2026-04-06,6,06:53,33.1,33.8,25,71.8,13,320,NA,8,35.2,27.1,72.06,15,300,0,Overcast,obs,2.1,2.1,ok
KMSP,Minneapolis St Paul,2026-04-06,7,07:53,33.1,33.8,21.9,63.2,15,320,NA,13,33.2,25.1,71.84,15,320,0,Overcast,obs,0.1,0.1,ok
KMSP,Minneapolis St Paul,2026-04-06,8,08:53,33.1,33.8,19.9,58.1,13,330,NA,13,33.2,21.8,62.72,17.2,320,0,Overcast,obs,0.1,0.1,ok
KMSP,Minneapolis St Paul,2026-04-06,9,09:53,32,33.8,19,58.4,NA,NA,NA,14,33.2,20,58.12,15,330,0,Overcast,obs,1.2,1.2,ok
