station_id,station_name,date_local,hour_local,iem_obs_time,iem_temp_f,iem_temp_f_max,iem_dewpoint_f,iem_rh_pct,iem_wind_kts,iem_wind_dir,iem_precip_in,iem_n_obs,vc_temp_f,vc_dewpoint_f,vc_rh_pct,vc_wind_mph,vc_wind_dir,vc_precip_in,vc_conditions,vc_source,temp_diff_f,abs_diff_f,flag
KNYC,New York Central Park,2026-04-06,0,00:51,46.9,46.9,32,55.9,NA,NA,NA,1,48.1,37,65.3,11.4,308,0,Overcast,obs,1.2,1.2,ok
KNYC,New York Central Park,2026-04-06,1,01:51,48,48,30,49.5,8,250,NA,1,47.5,31.8,54.15,15.2,306,0,Overcast,obs,-0.5,0.5,ok
KNYC,New York Central Park,2026-04-06,10,10:51,46,46,23,39.9,5.1,NA,NA,1,44.4,23,42.49,11.7,308,0,Clear,obs,-1.6,1.6,ok
KNYC,New York Central Park,2026-04-06,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,27,45.51,11.4,290,0,Clear,fcst,NA,NA,missing
KNYC,New York Central Park,2026-04-06,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,27,42.26,11.4,290,0,Clear,fcst,NA,NA,missing
KNYC,New York Central Park,2026-04-06,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.1,27,37.73,11.4,280,0,Clear,fcst,NA,NA,missing
KNYC,New York Central Park,2026-04-06,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.9,26,32.47,11.4,280,0,Clear,fcst,NA,NA,missing
KNYC,New York Central Park,2026-04-06,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.9,26,32.47,11.4,270,0,Partially cloudy,fcst,NA,NA,missing
KNYC,New York Central Park,2026-04-06,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.9,27,33.95,11.4,270,0,Partially cloudy,fcst,NA,NA,missing
KNYC,New York Central Park,2026-04-06,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,27.9,33.88,11.4,270,0,Partially cloudy,fcst,NA,NA,missing
KNYC,New York Central Park,2026-04-06,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.9,29,36.82,10.3,280,0,Partially cloudy,fcst,NA,NA,missing
KNYC,New York Central Park,2026-04-06,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.1,31,41.24,9.2,270,0,Partially cloudy,fcst,NA,NA,missing
KNYC,New York Central Park,2026-04-06,2,02:51,46.9,46.9,28.9,49.4,7,280,NA,1,48.1,29.5,48.3,12,259,0,Overcast,obs,1.2,1.2,ok
KNYC,New York Central Park,2026-04-06,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,31.9,44.49,8.1,280,0,Partially cloudy,fcst,NA,NA,missing
KNYC,New York Central Park,2026-04-06,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,33,49.98,6.9,280,0,Partially cloudy,fcst,NA,NA,missing
KNYC,New York Central Park,2026-04-06,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,35,58.23,6.9,270,0,Partially cloudy,fcst,NA,NA,missing
KNYC,New York Central Park,2026-04-06,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.9,35,60.63,5.8,300,0,Partially cloudy,fcst,NA,NA,missing
KNYC,New York Central Park,2026-04-06,3,03:51,45,45,27,49,8,280,NA,1,47.4,29.3,49.27,9.5,286,0,Overcast,obs,2.4,2.4,ok
KNYC,New York Central Park,2026-04-06,4,04:51,43,43,24.1,46.9,7,280,NA,1,45.5,27.3,48.8,15.4,293,0,Partially cloudy,obs,2.5,2.5,ok
KNYC,New York Central Park,2026-04-06,5,05:51,42.1,42.1,23,46.4,9.9,310,NA,1,43.3,24.2,46.54,13.9,291,0,Partially cloudy,obs,1.2,1.2,ok
KNYC,New York Central Park,2026-04-06,6,06:51,41,41,23,48.4,11.1,310,NA,1,42.5,23,45.75,14.2,309,0,Overcast,obs,1.5,1.5,ok
KNYC,New York Central Park,2026-04-06,7,07:51,41,41,23,48.4,8.9,290,NA,1,41.4,23.2,48.09,13.8,310,0,Partially cloudy,obs,0.4,0.4,ok
KNYC,New York Central Park,2026-04-06,8,08:51,42.1,42.1,21.9,44.4,8.9,300,NA,1,41.7,23.2,47.46,11.6,295,0,Partially cloudy,obs,-0.4,0.4,ok
KNYC,New York Central Park,2026-04-06,9,09:51,44.1,44.1,23,43,8,300,NA,1,42.8,22.1,43.44,14.2,298,0,Partially cloudy,obs,-1.3,1.3,ok
