station_id,station_name,date_local,hour_local,iem_obs_time,iem_temp_f,iem_temp_f_max,iem_dewpoint_f,iem_rh_pct,iem_wind_kts,iem_wind_dir,iem_precip_in,iem_n_obs,vc_temp_f,vc_dewpoint_f,vc_rh_pct,vc_wind_mph,vc_wind_dir,vc_precip_in,vc_conditions,vc_source,temp_diff_f,abs_diff_f,flag
KOKC,Oklahoma City Will Rogers,2026-04-06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,36.1,46.98,6.9,60,0,Partially cloudy,obs,NA,NA,missing
KOKC,Oklahoma City Will Rogers,2026-04-06,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.9,37.1,61.31,8,100,0,Partially cloudy,obs,NA,NA,missing
KOKC,Oklahoma City Will Rogers,2026-04-06,10,10:05,59,59,NA,NA,5,190,NA,2,57.8,38,47.58,5.8,190,0,Clear,obs,-1.2,1.2,ok
KOKC,Oklahoma City Will Rogers,2026-04-06,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.1,38,42.38,5.8,170,0,Clear,fcst,NA,NA,missing
KOKC,Oklahoma City Will Rogers,2026-04-06,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,38,36.87,5.8,170,0,Clear,fcst,NA,NA,missing
KOKC,Oklahoma City Will Rogers,2026-04-06,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,36.9,33,6.9,170,0,Clear,fcst,NA,NA,missing
KOKC,Oklahoma City Will Rogers,2026-04-06,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.1,36,28.67,6.9,160,0,Clear,fcst,NA,NA,missing
KOKC,Oklahoma City Will Rogers,2026-04-06,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.1,36.9,29.71,6.9,160,0,Clear,fcst,NA,NA,missing
KOKC,Oklahoma City Will Rogers,2026-04-06,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,36.9,28.81,8.1,150,0,Clear,fcst,NA,NA,missing
KOKC,Oklahoma City Will Rogers,2026-04-06,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.1,36.9,27.78,8.1,150,0,Clear,fcst,NA,NA,missing
KOKC,Oklahoma City Will Rogers,2026-04-06,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.1,38,30.99,9.2,150,0,Clear,fcst,NA,NA,missing
KOKC,Oklahoma City Will Rogers,2026-04-06,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.1,38,30.99,9.2,150,0,Clear,fcst,NA,NA,missing
KOKC,Oklahoma City Will Rogers,2026-04-06,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.9,36,58.76,6.9,110,0,Partially cloudy,obs,NA,NA,missing
KOKC,Oklahoma City Will Rogers,2026-04-06,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.9,38,35.74,8.1,150,0,Clear,fcst,NA,NA,missing
KOKC,Oklahoma City Will Rogers,2026-04-06,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,38.9,45.61,8.1,160,0,Clear,fcst,NA,NA,missing
KOKC,Oklahoma City Will Rogers,2026-04-06,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.9,40,53.08,6.9,160,0,Partially cloudy,fcst,NA,NA,missing
KOKC,Oklahoma City Will Rogers,2026-04-06,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.9,40,57.03,6.9,160,0,Partially cloudy,fcst,NA,NA,missing
KOKC,Oklahoma City Will Rogers,2026-04-06,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.9,36,63.25,4.7,120,0,Partially cloudy,obs,NA,NA,missing
KOKC,Oklahoma City Will Rogers,2026-04-06,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.9,35.2,61.08,0,360,0,Clear,obs,NA,NA,missing
KOKC,Oklahoma City Will Rogers,2026-04-06,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,36.1,65.48,0,360,0,Clear,obs,NA,NA,missing
KOKC,Oklahoma City Will Rogers,2026-04-06,6,06:52,44.1,44.6,NA,NA,4.1,230,NA,9,47,36.1,65.49,0,359,0,Clear,obs,2.9,2.9,ok
KOKC,Oklahoma City Will Rogers,2026-04-06,7,07:52,43,44.6,NA,NA,2.9,250,NA,13,44.2,36.1,73,4.7,230,0,Clear,obs,1.2,1.2,ok
KOKC,Oklahoma City Will Rogers,2026-04-06,8,08:52,53.1,53.6,NA,NA,6,210,NA,13,43.1,38,82.24,3.4,250,0,Clear,obs,-10,10,LARGE_DIFF
KOKC,Oklahoma City Will Rogers,2026-04-06,9,09:52,57.9,57.9,NA,NA,5.1,190,NA,13,53.1,38.9,58.43,6.9,210,0,Clear,obs,-4.8,4.8,moderate_diff
