station_id,station_name,date_local,hour_local,iem_obs_time,iem_temp_f,iem_temp_f_max,iem_dewpoint_f,iem_rh_pct,iem_wind_kts,iem_wind_dir,iem_precip_in,iem_n_obs,vc_temp_f,vc_dewpoint_f,vc_rh_pct,vc_wind_mph,vc_wind_dir,vc_precip_in,vc_conditions,vc_source,temp_diff_f,abs_diff_f,flag
KORD,Chicago OHare,2026-04-06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,33.2,58.41,12.7,240,0,Overcast,obs,NA,NA,missing
KORD,Chicago OHare,2026-04-06,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.2,38.9,81.76,11.4,260,0.012,"Rain, Overcast",obs,NA,NA,missing
KORD,Chicago OHare,2026-04-06,10,10:10,44.6,44.6,33.8,65.6,NA,NA,NA,3,44,33,65.08,15,310,0,Partially cloudy,fcst,-0.6,0.6,ok
KORD,Chicago OHare,2026-04-06,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.9,31.9,57.79,16.1,310,0,Partially cloudy,fcst,NA,NA,missing
KORD,Chicago OHare,2026-04-06,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,31,53.5,17.2,300,0,Partially cloudy,fcst,NA,NA,missing
KORD,Chicago OHare,2026-04-06,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.9,31,51.73,17.2,300,0,Partially cloudy,fcst,NA,NA,missing
KORD,Chicago OHare,2026-04-06,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,29,45.83,17.2,300,0,Partially cloudy,fcst,NA,NA,missing
KORD,Chicago OHare,2026-04-06,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,27.9,43.85,17.2,310,0,Partially cloudy,fcst,NA,NA,missing
KORD,Chicago OHare,2026-04-06,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,27,42.26,17.2,310,0.004,Partially cloudy,fcst,NA,NA,missing
KORD,Chicago OHare,2026-04-06,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,26,43.53,16.1,320,0,Partially cloudy,fcst,NA,NA,missing
KORD,Chicago OHare,2026-04-06,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.9,25.1,43.68,15,330,0,Partially cloudy,fcst,NA,NA,missing
KORD,Chicago OHare,2026-04-06,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.1,24,46.59,13.9,330,0,Partially cloudy,fcst,NA,NA,missing
KORD,Chicago OHare,2026-04-06,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.1,38.9,81.79,3.4,270,0.02,"Rain, Partially cloudy",obs,NA,NA,missing
KORD,Chicago OHare,2026-04-06,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.9,24,50.63,12.8,340,0,Partially cloudy,fcst,NA,NA,missing
KORD,Chicago OHare,2026-04-06,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.9,24,54.69,11.4,350,0,Partially cloudy,fcst,NA,NA,missing
KORD,Chicago OHare,2026-04-06,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,24,56.65,10.3,360,0,Partially cloudy,fcst,NA,NA,missing
KORD,Chicago OHare,2026-04-06,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,22.9,58.53,10.3,0,0.004,Partially cloudy,fcst,NA,NA,missing
KORD,Chicago OHare,2026-04-06,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.1,39.8,88.27,6.9,250,0.012,"Rain, Partially cloudy",obs,NA,NA,missing
KORD,Chicago OHare,2026-04-06,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.2,39.8,91.36,4.7,220,0,Partially cloudy,obs,NA,NA,missing
KORD,Chicago OHare,2026-04-06,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.9,38.9,92.59,5.8,260,0,Partially cloudy,obs,NA,NA,missing
KORD,Chicago OHare,2026-04-06,6,06:55,41,41,35.6,80.9,8,310,NA,7,42.2,38.9,88.21,10.3,310,0,Partially cloudy,obs,1.2,1.2,ok
KORD,Chicago OHare,2026-04-06,7,07:55,42.8,42.8,35.6,75.5,12,310,NA,13,40.9,36.1,82.71,11.4,320,0,Partially cloudy,obs,-1.9,1.9,ok
KORD,Chicago OHare,2026-04-06,8,08:55,44.6,44.6,35.6,70.5,14,320,NA,13,42.2,35.2,76.03,9.2,310,0,Partially cloudy,obs,-2.4,2.4,ok
KORD,Chicago OHare,2026-04-06,9,09:55,44.6,45,33.8,65.6,12,300,NA,14,43.1,35.2,73.43,15,300,0,Partially cloudy,obs,-1.5,1.5,ok
