station_id,station_name,date_local,hour_local,iem_obs_time,iem_temp_f,iem_temp_f_max,iem_dewpoint_f,iem_rh_pct,iem_wind_kts,iem_wind_dir,iem_precip_in,iem_n_obs,vc_temp_f,vc_dewpoint_f,vc_rh_pct,vc_wind_mph,vc_wind_dir,vc_precip_in,vc_conditions,vc_source,temp_diff_f,abs_diff_f,flag
KPHX,Phoenix Sky Harbor,2026-04-06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.1,33.2,17.13,4.7,90,0,Partially cloudy,obs,NA,NA,missing
KPHX,Phoenix Sky Harbor,2026-04-06,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,34.1,17.25,3.3,89,0,Partially cloudy,obs,NA,NA,missing
KPHX,Phoenix Sky Harbor,2026-04-06,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.9,43.1,25.38,12.8,120,0,Overcast,fcst,NA,NA,missing
KPHX,Phoenix Sky Harbor,2026-04-06,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.9,42,22.84,10.3,120,0,Overcast,fcst,NA,NA,missing
KPHX,Phoenix Sky Harbor,2026-04-06,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.9,42,21.43,10.3,110,0,Partially cloudy,fcst,NA,NA,missing
KPHX,Phoenix Sky Harbor,2026-04-06,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,40.9,19.86,9.2,110,0,Partially cloudy,fcst,NA,NA,missing
KPHX,Phoenix Sky Harbor,2026-04-06,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,40.9,19.86,6.9,100,0,Partially cloudy,fcst,NA,NA,missing
KPHX,Phoenix Sky Harbor,2026-04-06,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.9,40,19.85,6.9,90,0,Partially cloudy,fcst,NA,NA,missing
KPHX,Phoenix Sky Harbor,2026-04-06,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,38.9,18.39,5.8,80,0,Partially cloudy,fcst,NA,NA,missing
KPHX,Phoenix Sky Harbor,2026-04-06,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,38,17.76,5.8,110,0,Partially cloudy,fcst,NA,NA,missing
KPHX,Phoenix Sky Harbor,2026-04-06,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,38,18.91,5.8,60,0,Partially cloudy,fcst,NA,NA,missing
KPHX,Phoenix Sky Harbor,2026-04-06,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.9,42,24.35,5.8,60,0,Partially cloudy,fcst,NA,NA,missing
KPHX,Phoenix Sky Harbor,2026-04-06,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.1,34.1,18.92,5.8,80,0,Overcast,obs,NA,NA,missing
KPHX,Phoenix Sky Harbor,2026-04-06,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.1,45,28.19,5.8,60,0,Partially cloudy,fcst,NA,NA,missing
KPHX,Phoenix Sky Harbor,2026-04-06,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,45.9,32.24,5.8,50,0,Clear,fcst,NA,NA,missing
KPHX,Phoenix Sky Harbor,2026-04-06,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,47,35.86,4.7,30,0,Clear,fcst,NA,NA,missing
KPHX,Phoenix Sky Harbor,2026-04-06,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,47,38.31,3.4,40,0,Clear,fcst,NA,NA,missing
KPHX,Phoenix Sky Harbor,2026-04-06,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.1,34.1,19.6,4.7,110,0,Partially cloudy,obs,NA,NA,missing
KPHX,Phoenix Sky Harbor,2026-04-06,4,04:55,80.6,80.6,37.4,21.3,9,110,NA,9,80.1,36,20.48,11.4,120,0,Partially cloudy,obs,-0.5,0.5,ok
KPHX,Phoenix Sky Harbor,2026-04-06,5,05:55,78.8,79,37.4,22.6,13,110,NA,13,80.1,37.1,21.37,12.7,120,0,Partially cloudy,obs,1.3,1.3,ok
KPHX,Phoenix Sky Harbor,2026-04-06,6,06:55,78.8,79,39.2,24.2,11,120,NA,13,79,38,22.95,12.7,120,0,Partially cloudy,obs,0.2,0.2,ok
KPHX,Phoenix Sky Harbor,2026-04-06,7,07:55,78.8,79,39.2,24.2,10,130,NA,13,79,38,22.95,11.4,129,0,Partially cloudy,obs,0.2,0.2,ok
KPHX,Phoenix Sky Harbor,2026-04-06,8,08:05,78.8,78.8,39.2,24.2,11,120,NA,2,79.1,38.9,23.76,13.8,130,0,Overcast,obs,0.3,0.3,ok
KPHX,Phoenix Sky Harbor,2026-04-06,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,44,28.02,11.4,110,0,Overcast,fcst,NA,NA,missing
