station_id,station_name,date_local,hour_local,iem_obs_time,iem_temp_f,iem_temp_f_max,iem_dewpoint_f,iem_rh_pct,iem_wind_kts,iem_wind_dir,iem_precip_in,iem_n_obs,vc_temp_f,vc_dewpoint_f,vc_rh_pct,vc_wind_mph,vc_wind_dir,vc_precip_in,vc_conditions,vc_source,temp_diff_f,abs_diff_f,flag
KSEA,Seattle Tacoma,2026-04-06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.1,42.2,68.96,3.3,330,0,Clear,obs,NA,NA,missing
KSEA,Seattle Tacoma,2026-04-06,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.1,43.1,68.68,3.3,350,0,Clear,obs,NA,NA,missing
KSEA,Seattle Tacoma,2026-04-06,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,51,77.43,3.4,200,0,Partially cloudy,fcst,NA,NA,missing
KSEA,Seattle Tacoma,2026-04-06,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.1,51,69.42,3.4,210,0,Partially cloudy,fcst,NA,NA,missing
KSEA,Seattle Tacoma,2026-04-06,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,53,64.98,3.4,210,0,Partially cloudy,fcst,NA,NA,missing
KSEA,Seattle Tacoma,2026-04-06,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,53,60.67,4.7,230,0,Partially cloudy,fcst,NA,NA,missing
KSEA,Seattle Tacoma,2026-04-06,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,54.1,58.96,5.8,230,0,Partially cloudy,fcst,NA,NA,missing
KSEA,Seattle Tacoma,2026-04-06,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.1,54.1,56.82,6.9,240,0,Partially cloudy,fcst,NA,NA,missing
KSEA,Seattle Tacoma,2026-04-06,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,52.1,54.83,6.9,240,0,Partially cloudy,fcst,NA,NA,missing
KSEA,Seattle Tacoma,2026-04-06,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,51,52.69,6.9,250,0,Partially cloudy,fcst,NA,NA,missing
KSEA,Seattle Tacoma,2026-04-06,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,51,56.4,6.9,260,0,Clear,fcst,NA,NA,missing
KSEA,Seattle Tacoma,2026-04-06,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.1,49,60.15,5.8,300,0,Clear,fcst,NA,NA,missing
KSEA,Seattle Tacoma,2026-04-06,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,42.2,69.04,3.3,291,0,Clear,obs,NA,NA,missing
KSEA,Seattle Tacoma,2026-04-06,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.9,47.9,66.89,4.7,10,0,Partially cloudy,fcst,NA,NA,missing
KSEA,Seattle Tacoma,2026-04-06,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,45.9,68.86,4.7,40,0,Partially cloudy,fcst,NA,NA,missing
KSEA,Seattle Tacoma,2026-04-06,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.1,45,71.52,4.7,60,0,Partially cloudy,fcst,NA,NA,missing
KSEA,Seattle Tacoma,2026-04-06,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.1,45,76.91,4.7,50,0,Partially cloudy,fcst,NA,NA,missing
KSEA,Seattle Tacoma,2026-04-06,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.9,43.1,77.32,0,0,0,Clear,obs,NA,NA,missing
KSEA,Seattle Tacoma,2026-04-06,4,04:53,48,48.2,43,82.6,0,0,NA,9,48.8,42.2,77.78,3.3,169,0,Clear,obs,0.8,0.8,ok
KSEA,Seattle Tacoma,2026-04-06,5,05:53,46.9,48.2,43,86,0,0,NA,13,47.9,43.1,83.23,0,0,0,Clear,obs,1,1,ok
KSEA,Seattle Tacoma,2026-04-06,6,06:53,46.9,48.2,44.1,89.7,0,0,NA,13,47,43.1,86.1,0,1,0,Partially cloudy,obs,0.1,0.1,ok
KSEA,Seattle Tacoma,2026-04-06,7,07:53,50,50,45,82.7,4.1,160,NA,13,47,44.1,89.68,0,0,0,Partially cloudy,obs,-3,3,moderate_diff
KSEA,Seattle Tacoma,2026-04-06,8,08:05,51.8,51.8,46.4,81.8,4,150,NA,2,49,45.9,89.14,2.2,180,0,Partially cloudy,fcst,-2.8,2.8,ok
KSEA,Seattle Tacoma,2026-04-06,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,47.9,82.95,2.2,190,0,Partially cloudy,fcst,NA,NA,missing
