station_id,station_name,date_local,hour_local,iem_obs_time,iem_temp_f,iem_temp_f_max,iem_dewpoint_f,iem_rh_pct,iem_wind_kts,iem_wind_dir,iem_precip_in,iem_n_obs,vc_temp_f,vc_dewpoint_f,vc_rh_pct,vc_wind_mph,vc_wind_dir,vc_precip_in,vc_conditions,vc_source,temp_diff_f,abs_diff_f,flag
KSFO,San Francisco International,2026-04-06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.2,47.1,74.29,9.1,301,0,Partially cloudy,obs,NA,NA,missing
KSFO,San Francisco International,2026-04-06,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.2,48.9,85.23,15.9,300,0,Partially cloudy,obs,NA,NA,missing
KSFO,San Francisco International,2026-04-06,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.9,51,80.49,3.4,280,0,Partially cloudy,fcst,NA,NA,missing
KSFO,San Francisco International,2026-04-06,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,51,72.14,4.7,270,0,Partially cloudy,fcst,NA,NA,missing
KSFO,San Francisco International,2026-04-06,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,52.1,69.98,5.8,270,0,Partially cloudy,fcst,NA,NA,missing
KSFO,San Francisco International,2026-04-06,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.1,51,64.74,6.9,270,0,Partially cloudy,fcst,NA,NA,missing
KSFO,San Francisco International,2026-04-06,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.9,49.9,60.27,8.1,270,0,Clear,fcst,NA,NA,missing
KSFO,San Francisco International,2026-04-06,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.9,51,58.55,8.1,270,0,Clear,fcst,NA,NA,missing
KSFO,San Francisco International,2026-04-06,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.9,49,58.28,9.2,270,0,Clear,fcst,NA,NA,missing
KSFO,San Francisco International,2026-04-06,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.1,49,60.15,9.2,270,0,Partially cloudy,fcst,NA,NA,missing
KSFO,San Francisco International,2026-04-06,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.1,47.9,61.94,8.1,270,0,Partially cloudy,fcst,NA,NA,missing
KSFO,San Francisco International,2026-04-06,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.9,45.9,66.66,6.9,270,0,Partially cloudy,fcst,NA,NA,missing
KSFO,San Francisco International,2026-04-06,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.2,48.9,85.21,15.9,300,0,Partially cloudy,obs,NA,NA,missing
KSFO,San Francisco International,2026-04-06,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.1,45,71.52,5.8,270,0,Partially cloudy,fcst,NA,NA,missing
KSFO,San Francisco International,2026-04-06,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.1,45.9,74,5.8,270,0,Partially cloudy,fcst,NA,NA,missing
KSFO,San Francisco International,2026-04-06,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,45.9,76.99,5.8,270,0,Partially cloudy,fcst,NA,NA,missing
KSFO,San Francisco International,2026-04-06,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,45.9,76.99,5.8,270,0,Partially cloudy,fcst,NA,NA,missing
KSFO,San Francisco International,2026-04-06,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.1,48,85.81,14.8,310,0,Partially cloudy,obs,NA,NA,missing
KSFO,San Francisco International,2026-04-06,4,04:55,51.8,52,48.2,87.5,NA,NA,NA,8,52.1,48.8,88.69,15.9,300,0,Partially cloudy,obs,0.3,0.3,ok
KSFO,San Francisco International,2026-04-06,5,05:55,51.8,51.8,48.2,87.5,NA,NA,NA,13,52.1,48.8,88.69,14.8,290,0,Partially cloudy,obs,0.3,0.3,ok
KSFO,San Francisco International,2026-04-06,6,06:55,51.8,52,48.2,87.5,NA,NA,NA,13,51.2,48,88.67,14.8,291,0,Partially cloudy,obs,-0.6,0.6,ok
KSFO,San Francisco International,2026-04-06,7,07:55,53.6,53.6,48.2,81.9,NA,NA,NA,14,52.1,48.8,88.68,15.8,291,0,Partially cloudy,obs,-1.5,1.5,ok
KSFO,San Francisco International,2026-04-06,8,08:05,53.6,53.6,48.2,81.9,NA,NA,NA,2,52.1,47.9,85.74,2.2,270,0,Partially cloudy,fcst,-1.5,1.5,ok
KSFO,San Francisco International,2026-04-06,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.1,49,83.02,2.2,270,0,Partially cloudy,fcst,NA,NA,missing
